"ID","DEPARTURE_DATE","ARRIVAL_DATE","ROUTE_ID","AIRPLANE_ID","ARRIVAL_COST","DEPARTURE_COST","TOTAL_FUEL_COST"
53,"","",1964,1,87693,71747,1141303
54,"22/12/2017","22/12/2017",212,4,97314,67754,1738100
56,"22/10/2020","23/10/2020",234,4,94220,30246,1908954
58,"03/10/2019","04/10/2019",1720,6,69916,39835,1859740
59,"22/09/2022","23/09/2022",789,3,41839,47479,1980961
60,"14/05/2021","15/05/2021",198,6,87605,96781,1605396
61,"","",361,4,55341,66050,1339516
62,"28/01/2015","29/01/2015",2018,5,34291,88895,1088684
63,"25/01/2019","25/01/2019",1157,1,30311,50206,1854905
64,"02/02/2018","03/02/2018",1221,3,49115,48117,1059701
65,"12/11/2016","13/11/2016",1187,3,87532,84094,1301228
66,"27/06/2021","28/06/2021",1111,3,33157,59883,1909634
67,"16/03/2015","17/03/2015",1874,4,61316,80954,1984344
68,"","",342,2,35861,99682,1150670
69,"15/10/2019","16/10/2019",387,6,96085,64764,1640736
71,"10/12/2016","11/12/2016",2025,2,71976,59683,1471981
72,"18/05/2018","18/05/2018",1712,5,72959,59667,1029565
73,"28/08/2016","28/08/2016",550,5,50655,69839,1946877
74,"","",34,4,60908,51121,1552873
75,"","",2095,6,32853,62647,1370985
76,"07/02/2022","07/02/2022",1449,4,52646,54618,1638095
77,"19/03/2015","19/03/2015",950,2,33586,57613,1584550
78,"","",366,5,93019,47980,1120456
79,"05/07/2018","06/07/2018",721,2,83210,59164,1822725
81,"19/05/2022","19/05/2022",1514,6,97400,55305,1557631
82,"07/12/2016","08/12/2016",1488,7,64344,76921,1578440
84,"","",228,1,49154,78706,1422478
85,"23/01/2018","24/01/2018",323,5,59588,49603,1300957
86,"23/07/2020","24/07/2020",1425,6,45557,50103,1540265
87,"07/02/2018","08/02/2018",160,5,38565,40269,1624795
88,"17/09/2022","18/09/2022",1763,7,91947,93308,1396011
89,"10/04/2018","11/04/2018",1170,4,73224,56157,1936180
90,"","",1420,6,67482,63795,1503690
92,"","",903,4,30333,31031,1166965
93,"","",1281,5,60623,46158,1758245
94,"30/09/2019","30/09/2019",65,1,43141,70158,1639915
95,"29/04/2016","30/04/2016",1868,5,85922,64608,1729958
97,"28/04/2022","29/04/2022",369,3,39715,70320,1294994
98,"","",49,4,79557,88528,1288661
99,"07/12/2022","07/12/2022",103,2,33408,78891,1459484
100,"02/07/2018","02/07/2018",1501,7,74330,45015,1125662
101,"02/04/2022","02/04/2022",1409,5,52524,90573,1466791
102,"15/05/2015","16/05/2015",34,5,46647,71797,1783408
105,"20/06/2022","20/06/2022",721,7,76351,96723,1686306
106,"","",193,3,65509,52563,1775453
107,"14/12/2015","15/12/2015",759,2,75123,95052,1124145
108,"14/11/2022","15/11/2022",120,1,73100,56755,1675922
110,"20/07/2022","21/07/2022",452,1,73320,48584,1433030
111,"28/04/2018","28/04/2018",1012,4,40712,98106,1068031
112,"","",1985,2,82201,73877,1551358
113,"","",1073,7,41848,76605,1639221
114,"18/01/2020","19/01/2020",960,7,91118,76863,1127461
115,"11/05/2017","11/05/2017",1074,4,56788,56382,1019315
116,"17/01/2020","18/01/2020",240,5,81248,58229,1921628
117,"09/12/2015","09/12/2015",821,5,50761,35954,1714881
118,"","",1682,2,87647,35185,1935788
119,"12/03/2020","13/03/2020",1204,6,48852,97375,1319405
121,"","",46,1,46771,31400,1377728
125,"31/03/2018","31/03/2018",172,1,31326,42978,1361813
127,"09/03/2015","09/03/2015",620,2,47161,49695,1526215
128,"10/02/2018","11/02/2018",1505,5,91876,67063,1421892
129,"09/05/2021","09/05/2021",1382,2,32706,95693,1857819
131,"28/04/2015","29/04/2015",1280,1,66664,64492,1563046
132,"12/05/2017","12/05/2017",190,3,61981,51621,1015388
133,"","",2077,7,61422,73005,1460509
134,"25/12/2018","26/12/2018",1801,7,42668,90214,1123833
135,"","",1965,2,78742,83739,1278049
136,"24/02/2020","25/02/2020",1504,4,64921,57192,1846187
137,"18/05/2016","18/05/2016",1139,2,47934,52036,1888369
139,"15/11/2018","16/11/2018",466,3,89209,85720,1122627
140,"16/08/2021","16/08/2021",1311,3,95919,75143,1267718
141,"26/10/2018","26/10/2018",1763,4,61440,87846,1467817
143,"13/10/2019","14/10/2019",104,2,92757,98175,1230062
144,"","",1541,1,53607,56284,1973975
146,"30/01/2016","30/01/2016",1823,6,35164,82966,1086386
147,"15/12/2020","16/12/2020",234,1,65854,82153,1426764
149,"20/05/2021","20/05/2021",1659,7,47201,44539,1180360
150,"","",1609,4,50401,88641,1330004
151,"14/05/2015","15/05/2015",688,5,30305,56219,1341990
152,"11/02/2020","11/02/2020",1120,5,68589,47313,1206222
153,"15/07/2021","16/07/2021",1543,6,73379,73379,1963794
155,"18/05/2022","19/05/2022",1854,4,43380,47930,1362622
156,"22/12/2020","22/12/2020",720,2,80919,97401,1359057
157,"04/06/2018","05/06/2018",618,6,83018,35842,1595730
158,"18/06/2021","19/06/2021",1694,6,40978,46198,1127138
160,"06/03/2015","06/03/2015",186,5,41119,32006,1248385
161,"11/08/2020","12/08/2020",885,2,50179,68057,1376360
162,"19/03/2018","20/03/2018",1714,3,43101,77465,1800345
164,"","",1581,4,90755,72593,1429608
165,"","",1772,1,72673,48120,1942782
166,"19/12/2015","19/12/2015",1447,6,49635,73899,1284819
167,"03/03/2015","04/03/2015",1642,1,77155,96039,1928102
168,"27/01/2015","27/01/2015",871,4,65965,81721,1228343
169,"","",1963,4,74312,93362,1618761
170,"22/08/2020","22/08/2020",78,5,99084,51150,1467737
172,"11/12/2016","12/12/2016",1863,6,80308,38233,1851975
174,"04/01/2017","05/01/2017",1499,7,31311,55591,1609426
175,"04/02/2019","05/02/2019",1738,4,58490,84342,1951407
176,"02/10/2016","03/10/2016",568,1,45740,49711,1590151
177,"","",1248,7,33958,96103,1136353
178,"","",1215,6,33854,37260,1451841
179,"12/02/2020","13/02/2020",1356,4,43324,87574,1801204
180,"11/06/2015","11/06/2015",333,4,40291,34079,1282929
182,"21/01/2022","22/01/2022",708,5,86945,74356,1829591
183,"24/05/2016","24/05/2016",1603,2,35972,49274,1145083
184,"25/08/2021","26/08/2021",997,6,89486,34920,1688756
185,"06/08/2016","07/08/2016",1365,1,43984,48070,1741080
186,"","",807,1,94821,54118,1798853
187,"27/03/2016","27/03/2016",1690,5,50295,94096,1738818
189,"","",1771,2,60286,38204,1481276
190,"22/01/2017","22/01/2017",66,2,50899,46800,1417631
191,"23/10/2021","23/10/2021",644,4,68023,47763,1559773
192,"25/01/2020","26/01/2020",265,3,39801,68804,1955827
193,"","",1313,1,63205,57157,1084848
194,"26/05/2020","27/05/2020",540,2,66932,82829,1931805
195,"","",1172,1,89446,71459,1035372
196,"23/04/2018","24/04/2018",1014,7,32992,43761,1619290
197,"31/03/2020","31/03/2020",2072,4,32531,84936,1787030
198,"02/07/2015","02/07/2015",764,2,84991,74275,1274461
199,"10/05/2015","11/05/2015",383,7,70444,67913,1390142
200,"","",112,2,38917,39035,1576462
201,"02/07/2021","02/07/2021",1540,7,96242,46241,1326976
202,"07/03/2019","07/03/2019",1816,1,65608,96692,1505508
204,"13/09/2019","14/09/2019",1703,7,55333,65893,1359671
205,"19/05/2017","20/05/2017",1744,7,49153,56015,1924018
206,"27/11/2019","27/11/2019",166,4,57120,42410,1185662
207,"","",1085,3,75115,83475,1343864
208,"01/10/2020","01/10/2020",128,5,49749,83939,1309692
210,"","",1034,6,99777,51078,1588329
211,"17/06/2015","18/06/2015",1199,6,92536,46419,1564946
212,"","",656,1,60016,89825,1095459
213,"01/06/2021","01/06/2021",611,2,64208,63846,1694496
215,"25/11/2015","26/11/2015",506,5,52135,37496,1151676
216,"27/10/2020","28/10/2020",382,2,51415,97872,1320444
217,"27/08/2021","27/08/2021",1850,5,56426,30282,1812671
218,"02/12/2018","03/12/2018",1605,6,95303,49203,1709084
220,"08/01/2020","09/01/2020",1647,5,76488,47340,1175467
221,"28/11/2022","29/11/2022",323,3,47644,58086,1300088
222,"25/09/2016","25/09/2016",1502,1,66204,57510,1615257
223,"","",412,7,53556,70721,1837911
224,"03/11/2017","04/11/2017",648,7,99474,32936,1823393
226,"29/07/2016","30/07/2016",1870,2,70434,77812,1433443
227,"04/06/2018","05/06/2018",1151,2,92211,41444,1702821
228,"09/07/2015","09/07/2015",686,4,60975,42762,1590969
229,"","",1520,4,74645,37059,1584346
230,"16/02/2015","17/02/2015",371,7,73126,47553,1096418
231,"","",778,4,81134,37216,1289322
232,"18/10/2022","18/10/2022",1523,2,93736,84027,1894144
233,"","",1901,4,70313,67362,1473835
236,"25/05/2018","26/05/2018",964,2,49116,75237,1394938
237,"06/07/2020","07/07/2020",1296,5,30492,67097,1684602
238,"07/04/2019","08/04/2019",1195,3,81821,45581,1241133
239,"14/08/2022","15/08/2022",2,5,34305,66676,1348140
240,"19/04/2015","20/04/2015",1048,5,57871,66832,1478670
241,"26/07/2017","27/07/2017",197,1,83170,73119,1733699
242,"14/04/2018","15/04/2018",306,4,95589,97211,1402003
243,"21/03/2020","22/03/2020",1937,2,98322,39144,1866848
245,"22/10/2018","22/10/2018",158,3,52524,89319,1873752
246,"","",1766,2,53899,50454,1457176
248,"28/09/2016","28/09/2016",776,7,94297,41179,1422886
250,"11/01/2021","12/01/2021",789,1,83892,45692,1187222
251,"05/04/2022","06/04/2022",49,7,33818,34369,1451320
252,"","",1631,5,72630,52856,1626054
253,"27/05/2016","27/05/2016",1660,6,41227,72471,1026439
254,"30/04/2019","01/05/2019",1550,1,72412,32068,1385050
258,"","",1941,5,88898,76684,1872807
259,"18/10/2015","19/10/2015",193,6,80444,48219,1875982
260,"11/10/2018","11/10/2018",152,7,91289,64435,1644214
261,"01/06/2021","01/06/2021",51,6,81017,95508,1337571
262,"03/11/2019","04/11/2019",1672,7,94503,96795,1397472
263,"29/06/2018","30/06/2018",251,5,59142,60021,1173755
266,"11/06/2016","11/06/2016",90,2,37534,54673,1789782
268,"16/08/2022","17/08/2022",279,4,87498,84971,1401830
269,"19/10/2018","20/10/2018",1042,4,31858,71113,1753031
270,"26/03/2020","26/03/2020",928,5,86254,51528,1440734
271,"05/06/2017","05/06/2017",363,7,69022,51248,1602500
272,"01/02/2015","02/02/2015",1954,6,65764,91079,1322076
273,"08/01/2019","09/01/2019",1729,3,58147,96656,1063209
274,"05/05/2021","06/05/2021",1343,2,50948,69428,1789347
276,"14/12/2021","14/12/2021",451,2,90657,98027,1113565
277,"28/05/2017","29/05/2017",1501,5,66668,66897,1073206
278,"","",1657,7,33979,51921,1479588
280,"18/04/2015","19/04/2015",1299,6,77948,80449,1766444
281,"14/01/2020","15/01/2020",602,5,80937,73484,1585384
283,"15/12/2018","16/12/2018",2003,2,80583,66524,1218350
284,"","",692,7,86885,96979,1240928
285,"29/12/2018","30/12/2018",1598,4,76620,69914,1567615
286,"29/05/2019","30/05/2019",1046,6,46504,39880,1851661
287,"26/11/2015","26/11/2015",10,7,37399,45791,1443230
288,"13/10/2017","13/10/2017",1497,2,76013,92379,1059212
289,"","",1606,7,86258,65828,1973563
290,"23/12/2015","23/12/2015",2015,2,89149,83164,1902102
291,"","",629,5,76720,44871,1618848
292,"08/08/2019","09/08/2019",1519,2,40042,57979,1299235
293,"19/01/2021","20/01/2021",107,5,65159,65760,1446664
297,"26/02/2018","26/02/2018",282,7,73603,94357,1970510
298,"17/06/2020","18/06/2020",1835,5,38759,92376,1085362
299,"09/07/2022","10/07/2022",1630,7,44636,80528,1434774
302,"","",580,2,81797,71644,1730161
303,"07/01/2022","07/01/2022",2026,5,30271,98018,1848185
304,"06/07/2021","07/07/2021",419,5,50540,71971,1144590
305,"30/01/2016","31/01/2016",321,2,91974,38424,1347449
307,"","",1997,2,94471,73380,1680989
308,"22/08/2022","22/08/2022",872,4,77086,98098,1563408
309,"14/05/2018","14/05/2018",1575,1,87804,67912,1306710
311,"08/09/2019","08/09/2019",1376,2,61728,90277,1821481
312,"11/10/2017","11/10/2017",840,2,86659,95926,1476583
314,"25/05/2017","25/05/2017",1393,7,99777,76089,1071639
316,"29/08/2016","29/08/2016",399,4,40355,44014,1039782
318,"15/11/2017","16/11/2017",1153,6,73008,42907,1512725
319,"04/02/2022","05/02/2022",1094,4,33352,58961,1227568
320,"07/08/2015","07/08/2015",629,7,61167,45505,1240546
321,"03/09/2018","03/09/2018",1142,5,94302,92205,1169007
322,"08/10/2019","09/10/2019",1307,6,55694,85632,1568286
323,"","",217,4,30839,86485,1896658
324,"23/06/2022","24/06/2022",491,1,72041,59659,1454089
325,"23/11/2016","23/11/2016",1708,5,83095,39837,1974252
326,"20/01/2020","21/01/2020",1670,1,66414,74608,1649891
328,"20/12/2016","20/12/2016",1400,4,45131,59858,1576428
329,"10/02/2015","11/02/2015",1445,7,47615,80107,1824263
330,"08/06/2020","09/06/2020",1788,3,70607,82444,1413712
331,"","",712,2,62710,52990,1641010
332,"30/11/2018","30/11/2018",836,3,48977,43008,1225217
333,"24/12/2015","25/12/2015",873,6,55773,52700,1932710
334,"","",302,3,35279,40403,1547485
336,"27/02/2018","28/02/2018",1366,1,33151,44492,1425568
337,"28/10/2016","28/10/2016",664,4,65435,74369,1614343
339,"29/09/2016","30/09/2016",656,1,81846,52210,1655109
341,"15/05/2020","16/05/2020",2108,7,90729,90474,1790187
343,"19/07/2016","19/07/2016",945,3,71678,74852,1616684
344,"02/12/2019","02/12/2019",1667,5,95312,45023,1347094
346,"12/09/2017","13/09/2017",569,4,34554,92386,1178680
347,"","",396,5,62064,48266,1500401
348,"","",843,3,68501,49449,1639943
349,"06/03/2021","07/03/2021",293,7,65480,77520,1942467
350,"08/03/2020","09/03/2020",1587,6,73268,81903,1209311
351,"02/05/2017","02/05/2017",1449,4,42044,72185,1477318
352,"28/06/2016","28/06/2016",1704,6,39274,74191,1915976
353,"12/08/2016","12/08/2016",114,4,86053,76022,1585174
356,"","",1707,5,58904,77339,1374680
358,"10/11/2015","10/11/2015",1842,7,50585,65227,1086502
360,"13/11/2016","13/11/2016",668,5,98260,80069,1395194
361,"08/09/2017","09/09/2017",1183,3,59042,43073,1474049
362,"30/10/2021","30/10/2021",301,2,55159,58016,1826807
363,"04/07/2022","04/07/2022",237,1,60602,86860,1860286
364,"12/12/2017","13/12/2017",1904,5,71514,65907,1221655
365,"12/03/2017","12/03/2017",1272,7,33244,86536,1053083
366,"02/01/2020","03/01/2020",185,5,49647,63181,1668898
369,"06/01/2015","06/01/2015",1539,6,72156,35962,1947683
370,"11/04/2017","12/04/2017",1217,2,73478,39824,1977308
371,"18/07/2016","18/07/2016",493,1,83584,87914,1921805
373,"08/04/2015","09/04/2015",1337,5,63578,39035,1529815
374,"","",773,1,80259,38817,1589332
375,"","",1826,1,43224,46002,1164900
376,"20/04/2017","20/04/2017",1314,5,48140,76200,1778257
378,"","",1449,3,62626,61747,1458977
380,"08/01/2019","09/01/2019",1903,5,75112,89974,1070880
381,"31/08/2016","01/09/2016",101,6,66956,79127,1659233
382,"28/11/2020","29/11/2020",76,3,94790,68578,1570395
384,"","",1128,2,34738,32929,1576606
385,"","",980,1,42248,58502,1950303
386,"21/09/2022","22/09/2022",1931,2,93454,73466,1275545
388,"15/08/2015","15/08/2015",2000,2,78241,83935,1321708
389,"03/10/2020","04/10/2020",93,7,84602,91357,1899954
390,"02/02/2015","03/02/2015",1762,6,63869,47113,1221194
391,"27/05/2021","28/05/2021",1411,4,61449,61741,1030233
395,"02/01/2019","03/01/2019",1069,7,69888,87867,1246733
396,"06/02/2019","06/02/2019",576,6,75109,57396,1534261
397,"28/06/2020","29/06/2020",1987,7,53906,92933,1659891
398,"","",1375,5,68318,56018,1754864
399,"04/08/2016","04/08/2016",1660,2,52683,83257,1731140
400,"08/08/2020","08/08/2020",1052,2,58615,95060,1133450
401,"11/12/2017","12/12/2017",409,5,88617,74258,1756687
402,"18/11/2015","19/11/2015",937,2,48269,56528,1949209
403,"02/08/2020","03/08/2020",707,2,74375,56726,1380618
404,"","",1564,5,91850,71457,1557614
405,"06/07/2018","07/07/2018",172,2,60482,83209,1576811
406,"03/04/2015","03/04/2015",1718,6,79511,41482,1281682
407,"09/09/2015","10/09/2015",839,3,45470,69746,1094000
408,"03/03/2018","04/03/2018",618,2,66024,91743,1614326
409,"","",516,4,35962,68136,1334165
410,"20/11/2017","21/11/2017",805,5,93064,52490,1929414
411,"02/04/2017","02/04/2017",802,1,83280,90294,1438327
412,"01/01/2019","02/01/2019",759,6,38600,38179,1662854
413,"26/06/2017","26/06/2017",1241,6,42851,37956,1988201
414,"10/08/2022","11/08/2022",119,6,84422,75675,1896012
415,"29/10/2018","30/10/2018",1701,7,61426,32152,1372937
416,"03/12/2016","04/12/2016",1676,5,58860,98185,1960771
417,"12/08/2017","12/08/2017",1776,1,62362,72853,1605583
418,"19/04/2017","20/04/2017",1713,4,58037,46415,1345982
419,"22/08/2016","22/08/2016",1318,4,82642,56465,1533536
421,"","",180,2,60391,62057,1474936
423,"16/03/2015","16/03/2015",472,4,45356,61173,1054032
424,"05/08/2015","05/08/2015",554,1,35627,33468,1222801
426,"","",238,5,77885,30313,1487599
427,"30/10/2019","31/10/2019",258,6,69478,60420,1748659
428,"13/06/2019","13/06/2019",1014,5,30471,42851,1808745
429,"14/04/2018","15/04/2018",311,3,80506,52147,1808541
431,"03/01/2021","04/01/2021",1087,7,72918,48693,1279590
433,"","",2010,2,71690,60628,1770702
434,"","",782,5,34296,59325,1118629
435,"10/03/2021","11/03/2021",268,3,73343,80656,1549089
438,"11/02/2022","11/02/2022",1900,6,64541,46882,1458268
439,"","",632,4,49592,56544,1903904
441,"18/02/2019","19/02/2019",15,5,65753,39544,1345225
442,"","",1411,5,69982,73545,1172864
443,"29/08/2015","29/08/2015",2033,6,89539,67645,1535090
444,"","",1148,7,69912,96880,1449994
446,"21/09/2020","21/09/2020",1324,3,54138,90130,1838698
447,"10/01/2017","10/01/2017",137,7,45587,96938,1692013
448,"12/10/2021","13/10/2021",769,1,90373,48987,1528551
449,"11/09/2015","11/09/2015",293,7,79697,92578,1716029
451,"27/03/2015","28/03/2015",311,4,31009,63070,1303101
452,"05/09/2016","06/09/2016",1098,7,34976,43020,1909258
453,"29/04/2022","29/04/2022",855,6,90824,82849,1448380
454,"12/10/2016","13/10/2016",1284,1,30363,44533,1164949
456,"","",1128,2,49145,78222,1656140
457,"20/02/2019","20/02/2019",1542,5,47069,82157,1386287
459,"14/06/2022","15/06/2022",389,6,30218,34385,1425748
460,"07/10/2017","07/10/2017",1934,5,92704,59800,1125262
461,"28/05/2022","29/05/2022",1053,1,49290,30039,1492995
463,"13/05/2022","14/05/2022",1687,1,92096,46771,1133829
464,"","",1804,6,42710,64011,1375173
465,"27/03/2015","27/03/2015",468,4,94119,76912,1632075
466,"","",271,2,34246,88881,1333857
467,"25/01/2015","26/01/2015",264,7,37907,38627,1081802
468,"26/07/2016","27/07/2016",2074,4,80423,66334,1359698
471,"13/03/2016","13/03/2016",255,2,93340,87397,1411518
472,"12/09/2017","12/09/2017",165,5,82249,48229,1940518
473,"19/07/2018","19/07/2018",527,3,68670,63968,1939411
474,"02/01/2016","02/01/2016",6,7,57946,84884,1494341
476,"","",1611,2,81548,34404,1376948
477,"19/11/2016","20/11/2016",472,5,45294,89089,1584307
478,"","",2026,6,65114,87058,1944808
480,"04/02/2019","04/02/2019",29,2,42811,79201,1769116
481,"22/08/2020","23/08/2020",953,6,61973,57006,1831406
482,"","",628,5,86580,45039,1087508
483,"13/05/2020","14/05/2020",1242,5,79154,35553,1749089
484,"29/11/2018","30/11/2018",1453,4,91200,98283,1310984
485,"02/07/2022","02/07/2022",2003,4,38115,33625,1856953
486,"","",1778,2,99477,39534,1934646
487,"19/08/2022","19/08/2022",1126,5,70747,41062,1905301
488,"16/04/2016","16/04/2016",948,4,98654,71913,1620464
489,"","",702,3,97444,74770,1272055
490,"22/12/2021","23/12/2021",1357,6,43776,55033,1560080
491,"01/12/2017","01/12/2017",1573,4,74329,65016,1579381
492,"07/04/2022","07/04/2022",1061,5,60401,79726,1642411
493,"","",2030,1,38937,67891,1119006
494,"06/07/2022","07/07/2022",720,2,82171,81512,1568301
495,"30/11/2020","30/11/2020",559,5,96601,80453,1925383
496,"05/05/2022","05/05/2022",1839,2,48666,37081,1059591
497,"21/01/2017","22/01/2017",1948,6,98240,65543,1339143
498,"14/12/2015","14/12/2015",1070,6,93256,48289,1862013
499,"02/12/2019","02/12/2019",322,4,41469,54023,1182329
500,"10/02/2016","11/02/2016",1590,2,71184,99572,1724067
501,"","",40,2,70371,75578,1116904
502,"14/01/2022","15/01/2022",1976,7,64508,61140,1048977
503,"","",1027,4,74289,83848,1070431
505,"","",1333,3,85058,88377,1900368
506,"17/11/2017","18/11/2017",1068,5,30079,97495,1476753
507,"15/05/2019","16/05/2019",244,4,88794,34785,1359063
508,"","",1233,5,70629,33602,1927171
509,"21/08/2018","22/08/2018",1281,5,86241,89054,1439039
510,"08/08/2018","09/08/2018",1102,2,81562,66605,1946434
512,"","",886,3,80929,42231,1879145
513,"","",1282,2,90374,48572,1353355
514,"13/09/2018","13/09/2018",2029,6,88825,52442,1105836
515,"02/02/2022","02/02/2022",277,4,37205,58061,1184612
516,"","",120,2,56583,61527,1107629
517,"","",1622,4,42025,40059,1362098
518,"28/08/2018","29/08/2018",912,7,76398,53802,1668895
520,"11/01/2017","11/01/2017",1304,2,36127,78798,1249566
521,"","",303,7,65481,95415,1031175
522,"25/02/2016","26/02/2016",1537,7,37402,56913,1475773
523,"02/07/2019","03/07/2019",1719,4,67410,38971,1900234
524,"10/08/2020","10/08/2020",1875,5,70491,85420,1103356
525,"","",401,1,39467,66501,1122794
526,"28/12/2015","29/12/2015",184,3,97561,97791,1591117
528,"27/03/2017","28/03/2017",502,4,73496,68982,1480310
529,"","",870,1,84031,73532,1596189
530,"17/11/2021","17/11/2021",1744,1,71694,64285,1161280
532,"09/03/2019","09/03/2019",770,2,73510,47157,1009248
533,"05/09/2015","05/09/2015",224,3,45740,49354,1279657
534,"27/09/2019","27/09/2019",1277,3,94532,69402,1807977
535,"","",1625,6,61910,34507,1528766
536,"01/10/2019","01/10/2019",1857,2,89823,53260,1172313
537,"16/03/2018","16/03/2018",1482,3,86933,77285,1440366
538,"17/11/2018","18/11/2018",33,6,88722,74382,1417954
539,"16/06/2017","16/06/2017",1175,4,43453,79534,1397169
540,"","",335,6,42073,96222,1380818
541,"26/07/2016","26/07/2016",1423,6,62043,97688,1420691
542,"20/02/2018","21/02/2018",1048,5,68169,93992,1588151
543,"12/08/2017","13/08/2017",86,1,45886,99204,1364809
544,"15/02/2021","15/02/2021",1721,6,91468,98534,1413223
545,"29/02/2020","01/03/2020",860,5,50116,38061,1523872
547,"05/06/2017","06/06/2017",1427,5,82818,58958,1856137
548,"","",1559,6,64276,88266,1319903
549,"20/08/2021","20/08/2021",1386,4,80507,31157,1644636
550,"","",1148,2,66299,37452,1135854
551,"05/05/2016","05/05/2016",2062,6,53308,62436,1804105
552,"03/12/2019","04/12/2019",1499,3,42298,93334,1151055
553,"27/11/2017","27/11/2017",1941,1,57891,87406,1646784
554,"22/06/2020","23/06/2020",167,3,45028,55298,1826471
556,"09/03/2022","10/03/2022",1756,5,65040,85079,1855867
557,"","",1983,3,83441,52143,1808535
558,"05/07/2021","06/07/2021",424,5,47494,93226,1859299
559,"20/07/2022","20/07/2022",1311,6,55189,47038,1861742
560,"09/04/2015","09/04/2015",1271,1,99847,80529,1805267
561,"28/10/2019","28/10/2019",2028,2,60727,99373,1485519
562,"22/01/2017","23/01/2017",826,7,83768,50054,1208528
563,"18/02/2015","19/02/2015",187,3,38372,72976,1795382
564,"","",859,1,67619,92744,1726342
565,"","",1447,2,97641,48549,1663867
566,"07/01/2019","08/01/2019",265,3,41923,30667,1288752
567,"04/04/2015","04/04/2015",1208,5,83633,84313,1311657
568,"09/04/2016","09/04/2016",49,4,85929,38700,1296095
570,"29/08/2016","29/08/2016",545,3,53413,45528,1029406
571,"","",1492,1,35056,71889,1753843
572,"17/09/2015","18/09/2015",722,4,84669,87124,1829175
573,"","",770,5,70682,44847,1139027
574,"11/06/2016","12/06/2016",759,5,67969,39700,1997672
575,"17/05/2016","18/05/2016",1404,2,30153,54917,1813701
576,"","",951,3,76188,35217,1526242
577,"16/04/2017","17/04/2017",457,4,58255,41503,1141669
578,"26/12/2019","26/12/2019",1511,2,32457,79053,1214075
579,"27/05/2020","27/05/2020",18,1,92545,48001,1918760
580,"15/01/2022","16/01/2022",708,5,58305,87220,1801687
581,"07/01/2018","08/01/2018",1931,4,88403,50233,1047288
582,"20/05/2020","21/05/2020",1417,4,91907,37959,1522226
583,"13/11/2017","13/11/2017",959,5,42599,68175,1063053
584,"15/03/2018","15/03/2018",1919,1,89691,49358,1994896
585,"29/07/2018","29/07/2018",351,6,89628,46605,1758422
