"ID","AIRLANE_NAME","HEIGHT","LENGHT","WINGSPAN","WEIGHT","MAX_SPEED","MAX_WEIGHT","TOTAL_SEATS_ECO","TOTAL_SEATS_BUS","FUEL_CAPACITY","PRODUCTION_YEAR"
2386,"Kuwait Airways",36,73,51,106,844,274,782,1094,5,1988
2387,"Jetstar Asia",22,61,77,80,1027,228,687,961,23,2021
2388,"Virgin Atlantic",32,92,57,120,1273,178,271,379,9,2005
2389,"China Southern Airlines",39,105,49,102,1241,136,162,226,6,2009
2390,"Rex Airlines",36,112,41,91,1290,193,473,662,11,2002
2391,"Air Malta",33,103,72,115,915,274,737,1031,24,2007
2392,"Cathay Pacific Airways",22,75,42,58,922,195,635,889,8,1988
2393,"Air Serbia",40,90,53,109,827,154,210,294,19,1994
2394,"Air New Zealand",24,101,45,62,1270,207,673,942,5,1993
2395,"JetBlue Airways",36,84,78,111,944,281,789,1104,7,1981
2396,"SunExpress",22,63,37,56,829,103,219,306,9,1995
2397,"flyDubai",38,59,38,108,1143,295,869,1216,17,2005
2398,"Thai Airways",26,112,70,76,1005,197,563,788,22,1997
2399," Gulf Air",21,91,33,98,1082,156,273,382,22,1989
2400,"Delta Air Lines",33,68,57,105,990,194,415,581,15,2001
2401,"Citilink",24,110,30,68,1103,156,408,571,25,1984
2402,"China Eastern Airlines",40,86,76,76,1280,220,671,939,17,2005
2403,"airBaltic",23,109,74,63,954,204,653,914,9,2013
2404,"SAS Scandinavian",37,86,37,85,1081,153,318,445,11,2013
2405,"Singapore Airlines",34,115,50,68,1051,249,840,1176,20,1988
2406,"Hong Kong Airlines",26,87,36,113,863,221,500,700,7,1981
2407,"Eurowings",34,118,56,87,829,181,437,611,17,2012
2408,"Thai Airways",37,102,76,103,1228,158,256,358,4,1999
2409,"Royal Air Maroc",20,53,68,74,1154,163,415,581,12,1999
2410," Austrian Airlines",30,67,76,72,918,143,333,466,10,2018
2411,"Sky Airline",37,102,52,118,1158,243,581,813,10,2013
2412,"Thai Airways",36,80,68,72,839,212,649,908,7,2015
2413,"KLM Royal Dutch Airlines",35,90,51,65,1104,119,253,354,13,1990
2414,"Virgin Australia",33,66,75,65,887,182,546,764,19,2017
2415,"TUI Airways",21,116,58,68,1093,175,497,695,19,2004
2416,"EasyJet",32,118,76,82,1215,246,760,1064,9,2004
2417,"China Airlines",24,68,40,105,1074,162,267,373,12,2005
2418,"Air Serbia",30,93,44,119,1282,292,805,1127,13,1984
2419,"Virgin Atlantic",32,54,73,108,1294,287,829,1160,12,2006
2420,"Wizz Air",21,104,64,57,1052,90,155,217,21,2011
2421,"American Airlines",35,80,53,113,1209,282,784,1097,12,2010
2422,"ANA All Nippon Airways",22,78,56,52,895,149,452,632,16,2018
2423,"WestJet",31,69,78,70,1294,235,768,1075,17,2014
2424," Aegean Airlines",30,91,34,80,1067,168,408,571,5,1991
2425,"Kenya Airways",29,67,37,60,1129,162,475,665,12,1984
2426,"Oman Air",25,99,50,54,1111,214,741,1037,19,2013
2427,"ITA Airways",34,57,44,63,957,136,340,476,22,2016
2428,"Azul Airlines",24,109,43,103,1047,194,424,593,23,2021
2429,"AirAsia",29,81,49,105,1275,187,383,536,5,2010
2430,"China Eastern Airlines",30,75,54,81,1281,250,784,1097,13,2018
2431,"Eurowings",29,100,53,106,957,253,684,957,23,1997
2432,"AirAsia",22,75,39,70,1276,159,413,578,7,1995
2433," Air Canada",34,112,60,100,1296,137,174,243,16,2000
2434,"Air Arabia",38,70,46,102,1241,200,455,637,7,1994
2435," Austrian Airlines",21,67,45,80,1288,193,527,737,23,2017
2436," Aegean Airlines",37,99,77,108,932,198,421,589,14,1987
2437,"American Airlines",39,104,66,90,1142,134,204,285,9,1999
2438,"Lufthansa",34,76,45,118,840,240,567,793,8,2018
2439,"Air France",32,72,55,100,1246,232,614,859,7,2007
2440,"Peach",28,71,32,67,930,193,588,823,17,1984
2441,"KLM Royal Dutch Airlines",22,96,47,111,1018,189,362,506,22,2004
2442,"Emirates",38,86,47,105,1223,209,483,676,19,1998
2443,"Finnair",22,70,52,115,1255,174,277,387,23,1993
2444,"Flynas",36,62,47,115,1006,289,807,1129,22,2012
2445,"SunExpress",29,83,36,60,1048,212,704,985,11,1986
2446,"United Airlines",35,89,40,119,1112,184,303,424,14,2002
2447,"Southwest Airlines",40,95,64,51,867,140,415,581,14,1985
2448,"Egyptair",30,119,69,50,988,222,798,1117,22,2007
2449,"Copa Airlines",24,95,79,111,842,271,742,1038,17,1998
2450," Air Canada",27,71,46,62,1290,102,189,264,9,2012
2451,"Air Astana",25,78,33,117,837,245,594,831,19,1998
2452,"British Airways",33,65,75,94,1174,246,704,985,19,1993
2453,"WestJet",30,93,79,108,819,147,181,253,16,2003
2454,"flyDubai",37,85,35,52,868,218,771,1079,16,2019
2455," Air Canada",29,98,56,103,850,195,428,599,5,1982
2456,"Saudi Arabian Airlines",32,101,62,106,876,191,394,551,24,2007
2457,"SunExpress",36,83,79,112,952,193,378,529,17,2012
2458,"Air Canada rouge",24,98,56,80,1055,224,668,935,7,1991
2459,"SunExpress",20,83,71,119,968,241,565,791,13,1993
2460,"SAS Scandinavian",29,106,32,98,1241,273,811,1135,8,1985
2461,"LEVEL",28,77,72,102,810,236,623,872,5,2000
2462,"Turkish Airlines",27,61,36,63,801,127,298,417,7,2008
2463,"Ethiopian Airlines",24,74,34,83,924,222,646,904,12,1994
2464,"Air Mauritius",28,61,45,71,1156,147,354,495,17,2000
2465,"Vietnam Airlines",32,53,30,78,1260,186,501,701,9,2000
2466,"Emirates",21,108,30,90,836,200,514,719,20,1993
2467," Gulf Air",40,87,61,95,912,189,438,613,11,2013
2468,"Vietnam Airlines",36,92,36,101,953,286,857,1199,23,2002
2469,"Azul Airlines",33,76,64,59,1210,226,774,1083,20,2005
2470,"Air Mauritius",36,75,32,112,1061,263,700,980,16,1981
2471,"Emirates",20,60,71,87,1012,184,451,631,12,1981
2472,"Copa Airlines",38,89,42,61,862,212,701,981,21,2013
2473,"Jetstar Asia",37,68,69,110,972,208,456,638,24,1996
2474,"Copa Airlines",27,87,48,96,1062,235,648,907,7,2013
2475,"Kuwait Airways",35,110,33,108,930,163,258,361,16,1991
2476,"Kenya Airways",39,104,69,79,1075,178,463,648,12,1999
2477,"Malaysia Airlines",37,71,42,106,942,219,525,735,7,1983
2478,"Copa Airlines",31,111,35,81,1070,248,777,1087,23,1991
2479,"TUI Airways",21,65,70,67,991,181,530,742,22,2020
2480,"IndiGo",38,98,58,100,1115,230,603,844,15,2018
2481,"Norwegian",31,63,42,51,845,181,604,845,18,2003
2482,"JetBlue Airways",25,117,73,56,1000,125,324,453,20,2001
2483,"Alaska Airlines",28,107,76,56,1199,107,239,334,19,1987
2484,"Turkish Airlines",29,96,43,110,1126,249,646,904,17,1999
2485,"SAS Scandinavian",34,95,43,52,810,231,833,1166,19,2003
2486,"Jet2.com",38,62,43,92,1273,171,367,513,9,2007
2487,"Cathay Pacific Airways",28,64,54,104,1173,174,328,459,10,1999
2488,"Air Mauritius",20,74,67,117,1271,295,826,1156,20,2012
2489,"LOT",32,95,58,74,1204,107,157,219,20,2004
2490,"Peach",28,75,76,101,1250,232,608,851,14,1988
2491,"Aer Lingus",38,106,32,112,1002,183,332,464,5,1996
2492,"airBaltic",21,52,57,56,1155,110,250,350,14,1992
2493,"China Southern Airlines",37,76,50,82,1163,266,854,1195,11,2015
2494,"Vistara",38,58,32,89,1089,206,546,764,25,2015
2495,"China Eastern Airlines",24,53,32,83,1086,260,824,1153,14,2020
2496,"Alaska Airlines",22,93,75,107,956,193,400,560,11,1985
2497,"Swiss International Air Lines",31,74,58,103,1081,197,439,614,17,2013
2498,"Air Mauritius",39,88,67,83,1292,262,830,1162,8,1989
2499,"Air Astana",39,107,35,116,964,165,231,323,21,2009
2500,"TAP Portugal",27,113,50,62,940,202,649,908,12,1991
2501,"TUI Airways",40,98,58,58,845,220,754,1055,7,2010
2502,"LOT",31,107,48,105,820,196,425,595,5,1994
2503,"Air Arabia",28,108,33,85,1168,202,546,764,5,2000
2504,"Korean Air",21,80,54,70,1131,226,724,1013,24,1984
2505,"Thai Airways",22,75,75,115,823,181,308,431,4,2007
2506,"Philippine Airlines",32,75,52,104,948,189,397,555,21,1993
2507,"Japan Airlines",22,86,74,77,1268,207,604,845,16,2003
2508,"Azerbaijan Airlines",38,92,57,113,963,303,883,1236,15,1983
2509,"Korean Air",31,89,39,58,1001,178,558,781,12,1980
2510,"Vueling Airlines",28,119,76,104,843,224,559,782,20,2019
2511,"Air Transat",39,98,31,117,1217,186,322,450,8,2016
2512,"EasyJet",30,115,78,72,972,193,561,785,21,2014
2513,"AirAsia",31,114,57,112,1059,207,443,620,11,2018
2514," Aegean Airlines",39,106,73,83,884,185,477,667,18,2019
2515,"Philippine Airlines",26,79,65,99,1257,265,769,1076,17,2008
2516,"Vistara",24,118,62,70,1010,241,794,1111,11,1997
2517,"China Eastern Airlines",33,55,31,55,957,127,336,470,17,2004
2518,"Scoot",23,70,55,105,1210,173,317,443,16,1995
2519,"Lufthansa",40,97,46,64,1241,182,550,770,5,1987
2520,"Eurowings",32,54,74,80,1156,195,536,750,8,2010
2521,"Southwest Airlines",28,71,48,92,900,202,510,714,21,1984
2522,"JetSmart",20,66,78,75,1014,265,882,1234,6,1984
2523,"flyDubai",26,54,45,60,1173,193,619,866,10,1988
2524,"South African Airways",31,59,54,61,841,155,436,610,6,1988
2525,"Flynas",32,51,35,88,977,184,448,627,24,1986
2526,"WestJet",38,110,33,65,912,233,781,1093,10,2009
2527,"Air New Zealand",27,55,33,88,1013,281,895,1253,6,2000
2528,"Air Malta",28,94,71,108,976,200,430,602,4,1985
2529,"Azul Airlines",30,92,49,59,1013,110,239,334,15,2015
2530,"Korean Air",30,104,30,74,1237,259,861,1205,12,2000
2531,"Air Canada rouge",36,84,66,77,1059,248,796,1114,16,1993
2532,"Garuda Indonesia",30,87,48,78,817,225,685,959,13,1992
2533,"ITA Airways",37,96,45,56,907,240,855,1197,20,1995
2534,"American Eagle",32,72,44,72,1043,124,245,343,5,2005
2535,"JetSmart",30,63,37,110,1144,209,463,648,8,2010
2536,"Japan Airlines",20,82,51,58,1022,203,675,945,10,1997
2537,"Air New Zealand",31,79,50,118,1066,212,438,613,14,1999
2538,"Finnair",34,99,72,69,1243,182,524,733,20,2009
2539,"Jetstar Asia",30,107,34,89,1214,170,377,527,11,1985
2540,"Alaska Airlines",29,100,62,84,935,217,619,866,13,2001
2541,"Virgin Australia",36,87,74,114,1166,237,574,803,12,1999
2542,"LEVEL",36,84,45,60,1086,204,670,938,12,2020
2543,"Delta Air Lines",21,53,60,113,1068,269,725,1015,12,1987
2544,"LEVEL",25,58,40,61,1205,246,861,1205,12,2011
2545,"Ethiopian Airlines",33,64,75,60,804,246,865,1211,17,1993
2546," Aegean Airlines",39,66,76,110,1207,274,762,1066,11,2003
2547,"China Eastern Airlines",38,118,41,88,933,280,891,1247,5,2015
2548,"Saudi Arabian Airlines",30,86,62,60,1006,203,665,931,4,1981
2549,"Egyptair",30,51,38,85,1252,182,451,631,9,2017
2550,"Singapore Airlines",21,83,55,109,1093,265,725,1015,17,2017
2551,"Singapore Airlines",39,102,36,93,1191,201,501,701,7,2021
2552,"Emirates",35,112,75,64,1007,162,457,639,12,2018
2553,"Southwest Airlines",29,85,53,100,840,267,775,1085,21,2000
2554,"flyDubai",21,77,39,83,1220,151,315,441,22,1983
2555,"LOT",27,101,55,91,1168,126,164,229,15,1986
2556,"Quatar Airways",23,107,80,105,841,260,721,1009,22,2012
2557,"United Airlines",21,78,50,70,1231,222,706,988,9,2008
2558,"Azerbaijan Airlines",22,51,67,117,1219,302,860,1204,10,2004
2559," Gulf Air",24,51,53,58,942,150,428,599,21,2019
2560,"Japan Airlines",24,110,65,111,989,210,461,645,21,1996
2561,"Wizz Air",39,73,65,89,1271,187,454,635,6,1981
2562," Hainan Airlines",26,90,58,109,913,268,737,1031,8,2013
2563,"Aer Lingus",23,114,73,94,945,146,244,341,12,2001
2564,"Air Arabia",31,120,46,89,973,229,650,910,19,2001
2565,"Avianca",31,64,63,51,829,234,848,1187,24,1988
2566,"Aer Lingus",30,85,40,81,929,138,266,372,11,2005
2567,"airBaltic",34,112,50,61,891,254,897,1255,12,2014
2568,"Southwest Airlines",31,86,41,61,868,134,340,476,12,2000
2569,"Malaysia Airlines",27,113,33,63,819,177,528,739,13,1987
2570,"Swiss International Air Lines",21,53,78,67,841,117,234,327,13,2016
2571,"South African Airways",20,89,76,104,815,238,621,869,10,1988
2572,"EVA Air",26,63,43,85,1063,180,440,616,22,1995
2573,"American Eagle",30,77,45,94,1101,168,345,483,20,2010
2574,"TAP Portugal",26,87,80,119,1266,281,754,1055,18,2003
2575,"TUI Airways",23,57,66,84,880,223,645,903,12,2005
2576,"Air Malta",35,100,39,59,1141,210,700,980,12,2010
2577,"IndiGo",33,112,50,94,881,128,162,226,16,2014
2578,"Ryanair",36,109,68,79,1266,188,507,709,4,1994
2579,"Air Serbia",24,79,43,118,1196,167,230,322,21,1999
2580,"Air Malta",25,56,76,102,973,274,801,1121,6,2017
2581,"Japan Airlines",37,105,43,50,1040,122,335,469,21,2021
2582,"Quatar Airways",36,116,66,107,973,219,523,732,9,1985
2583,"Aer Lingus",24,52,53,118,941,303,861,1205,12,1991
2584,"Azul Airlines",27,86,43,90,1099,167,357,499,11,1993
2585,"Jet2.com",20,60,41,63,1287,154,422,590,21,2004
2586,"Oman Air",35,105,79,96,1234,222,588,823,5,1981
2587,"Sky Airline",34,77,46,117,857,286,787,1101,18,2007
2588,"Royal Brunei Airlines",32,63,41,68,1093,127,276,386,17,1999
2589," Air Canada",30,118,38,53,1009,206,712,996,17,1985
2590," Qantas Airways",24,57,47,110,1257,204,436,610,6,1997
2591,"Air Malta",33,94,55,114,1012,290,816,1142,18,2015
2592,"Jet2.com",24,114,51,65,1097,101,170,238,18,1986
2593,"Rex Airlines",29,87,52,57,974,159,476,666,10,2009
2594,"Iberia",27,84,37,108,1257,273,767,1073,22,1986
2595,"Ryanair",29,89,43,83,909,237,714,999,9,2010
2596," Gulf Air",32,81,53,111,837,273,752,1052,5,1991
2597,"Jet2.com",27,78,80,65,1159,134,322,450,9,2010
2598,"Malaysia Airlines",39,57,55,109,1064,216,496,694,21,1987
2599,"Japan Airlines",37,86,75,118,1133,185,311,435,14,2009
2600,"SunExpress",34,59,74,99,1178,205,495,693,22,2002
2601,"Philippine Airlines",28,98,60,65,954,205,651,911,8,2001
2602,"IndiGo",20,70,59,83,892,148,302,422,12,1995
2603," Qantas Airways",24,75,37,76,1122,218,662,926,19,2012
2604,"Ryanair",20,94,72,60,1219,211,700,980,11,2009
2605,"China Southern Airlines",36,53,52,93,857,154,285,399,11,1995
2606,"Garuda Indonesia",22,79,76,95,1261,188,432,604,22,2022
2607,"Saudi Arabian Airlines",28,109,35,100,1119,229,601,841,17,2015
2608,"Delta Air Lines",37,99,73,59,862,138,370,518,12,1991
2609,"Japan Airlines",27,94,60,55,925,210,721,1009,13,2010
2610,"Citilink",38,53,65,90,1274,258,781,1093,8,1982
2611,"Buta Airways",27,81,72,81,1096,162,379,530,22,1992
2612,"Royal Brunei Airlines",30,106,64,113,951,151,180,252,6,2013
2613,"SunExpress",33,64,66,66,910,225,740,1036,14,1984
2614,"Air Mauritius",25,111,54,110,937,302,892,1248,20,2019
2615,"Air Mauritius",22,99,75,83,986,147,297,415,13,2020
2616,"Wizz Air",29,66,66,107,1249,279,798,1117,24,2009
2617,"Virgin Atlantic",27,87,44,69,1147,258,879,1230,11,2003
2618,"American Airlines",24,116,73,50,1122,199,692,968,10,2002
2619,"Air Serbia",36,71,32,62,1163,117,259,362,22,1982
2620,"Scoot",38,99,52,109,1210,217,502,702,9,1982
2621,"Philippine Airlines",26,79,71,83,1087,193,512,716,16,2016
2622,"Air France",35,69,74,52,1238,169,542,758,10,2012
2623,"Buta Airways",23,84,53,75,1190,199,578,809,5,2018
2624," Qantas Airways",37,87,65,87,857,135,227,317,7,2009
2625,"Air Mauritius",22,85,65,72,1164,183,518,725,24,2019
2626,"British Airways",27,101,64,72,884,252,834,1167,20,2013
2627,"Flynas",20,67,36,96,1012,202,493,690,11,1996
2628,"Iberia",27,85,71,78,1114,114,168,235,14,2009
2629,"LEVEL",33,105,71,107,1168,273,773,1082,7,1995
2630,"Emirates",25,97,64,87,929,202,535,749,6,2011
2631,"flyDubai",27,110,32,50,995,189,648,907,17,1999
2632," Gulf Air",24,51,63,79,1024,175,445,623,14,1982
2633,"Air Arabia",23,77,32,60,1152,189,602,842,8,1983
2634,"Iberia",35,53,56,113,902,165,245,343,23,2006
2635,"JetBlue Airways",25,95,36,70,1041,246,815,1141,16,1984
2636,"Vueling Airlines",25,106,54,77,878,210,620,868,19,1994
2637,"Egyptair",27,118,51,72,1032,126,253,354,5,2015
2638,"Jetstar Asia",25,101,30,97,905,180,388,543,4,2001
2639,"LATAM",32,118,41,76,1129,210,623,872,9,1989
2640,"Korean Air",27,94,74,84,1288,207,571,799,19,1981
2641," Austrian Airlines",36,74,33,64,1049,133,324,453,6,2004
2642,"Norwegian",22,71,61,92,1156,284,893,1250,9,1993
2643,"Ethiopian Airlines",21,59,68,73,1038,217,668,935,24,2014
2644,"WestJet",25,83,75,81,1092,243,753,1054,7,1997
2645,"Air Mauritius",32,99,57,102,834,143,194,271,13,1993
2646,"Emirates",34,91,52,104,944,291,867,1213,24,2016
2647,"Kenya Airways",24,65,38,102,1014,147,211,295,6,2002
2648,"China Eastern Airlines",28,84,33,101,1114,208,497,695,5,1997
2649,"Copa Airlines",24,93,34,105,1288,202,453,634,12,1995
2650,"flyDubai",24,69,43,94,999,195,471,659,11,2017
2651,"Buta Airways",30,98,77,111,1256,272,747,1045,5,1996
2652,"Copa Airlines",25,56,40,110,920,204,436,610,11,2004
2653,"Air Arabia",20,102,78,85,845,254,783,1096,14,1980
2654,"Kuwait Airways",36,60,38,69,1048,197,593,830,11,1990
2655,"Vueling Airlines",22,70,65,66,905,201,629,880,7,1989
2656,"flyDubai",25,71,70,120,1011,229,509,712,5,1987
2657,"Emirates",34,112,45,57,1058,235,827,1157,23,1996
2658,"Asiana Airlines",20,73,80,77,1172,174,453,634,9,1982
2659,"British Airways",37,70,55,62,1293,218,725,1015,9,2004
2660,"Egyptair",30,100,31,73,1206,156,387,541,18,1991
2661,"Ethiopian Airlines",30,55,58,75,1167,187,519,726,20,1984
2662,"Citilink",34,112,78,101,1041,256,722,1010,24,2005
2663,"Bangkok Airways",26,84,55,52,1029,159,499,698,21,1984
2664,"LEVEL",36,97,66,68,1237,232,761,1065,19,1984
2665,"Southwest Airlines",39,69,37,66,1288,228,754,1055,23,2011
2666,"Vueling Airlines",39,109,30,78,821,184,492,688,22,2016
2667,"ANA All Nippon Airways",25,105,55,61,1118,202,657,919,25,2006
2668,"LEVEL",35,68,75,110,891,191,378,529,19,2000
2669,"IndiGo",37,54,32,101,814,178,359,502,19,2020
2670,"AirAsia",38,75,44,58,845,144,400,560,17,2004
2671,"Delta Air Lines",22,114,55,94,1271,157,293,410,9,2020
2672,"Jetstar Asia",23,67,52,53,894,134,376,526,6,2021
2673,"Southwest Airlines",35,105,73,64,1298,214,699,978,22,2019
2674,"SAS Scandinavian",33,109,58,119,1247,306,866,1212,16,2014
2675,"Delta Air Lines",22,98,57,117,1057,274,728,1019,15,2018
2676,"Bangkok Airways",23,80,34,102,1198,290,873,1222,7,2018
2677,"Bangkok Airways",40,79,73,100,1141,200,464,649,17,1991
2678,"American Airlines",24,113,59,116,818,183,313,438,20,1996
2679,"WestJet",30,74,60,57,1102,140,385,539,15,1983
2680,"Cathay Pacific Airways",22,95,41,102,987,202,467,653,22,2020
2681,"Air Mauritius",38,79,63,75,828,247,801,1121,19,1994
2682,"United Airlines",30,64,52,80,1183,244,763,1068,6,2002
2683,"Finnair",33,51,38,88,895,211,574,803,6,2008
2684,"Copa Airlines",31,68,57,61,1232,156,443,620,16,2014
2685," Austrian Airlines",26,86,75,93,1102,182,416,582,11,2019
2686,"Norwegian",24,67,78,106,1155,295,879,1230,4,2021
2687,"Singapore Airlines",25,114,58,70,1140,232,753,1054,18,2013
2688,"Singapore Airlines",26,117,77,100,1087,146,217,303,22,2004
2689,"Iberia",38,57,66,57,865,235,828,1159,22,2020
2690,"American Eagle",27,74,45,99,1102,162,296,414,8,1983
2691,"Southwest Airlines",26,56,68,66,869,120,250,350,12,1986
2692,"Air Arabia",30,58,76,83,1290,151,319,446,16,1983
2693,"Bangkok Airways",24,117,37,82,1192,252,788,1103,14,2004
2694," Air Canada",30,92,80,58,1195,194,630,882,4,1997
2695,"Iberia",31,117,34,90,1145,161,331,463,10,1991
2696,"Quatar Airways",37,78,53,57,1193,96,183,256,5,1984
2697,"British Airways",25,71,30,63,992,179,538,753,20,2015
2698,"Kenya Airways",30,99,71,55,1293,134,369,516,9,1998
2699,"Norwegian",30,96,57,90,1013,230,651,911,5,1983
2700,"airBaltic",38,55,44,103,1206,210,497,695,24,1990
2701,"Virgin Atlantic",26,87,31,117,1106,198,376,526,21,2016
2702,"Southwest Airlines",37,77,61,81,1071,198,546,764,21,1980
2703," Aegean Airlines",37,96,45,119,896,182,294,411,7,2003
2704,"Virgin Australia",24,107,32,89,1225,180,422,590,22,2019
2705,"Delta Air Lines",26,113,60,77,1109,203,586,820,22,1984
2706," Hainan Airlines",30,105,43,67,882,122,257,359,18,1999
2707,"Vistara",25,82,36,84,942,164,374,523,22,1992
2708,"SunExpress",21,119,71,68,1190,150,384,537,13,2009
2709,"Air Dolomiti",24,88,50,50,1116,145,440,616,20,1986
2710,"Garuda Indonesia",36,114,31,77,1018,232,720,1008,25,1989
2711,"Vietnam Airlines",32,56,54,73,973,230,728,1019,25,2010
2712,"Air Astana",39,113,53,91,1183,265,808,1131,19,1992
2713,"TUI Airways",21,79,48,113,864,218,489,684,7,2013
2714,"EVA Air",28,85,56,116,995,266,697,975,7,2006
2715,"Air France",23,104,73,60,845,240,835,1169,25,1996
2716,"Air New Zealand",36,65,64,54,997,158,484,677,11,1985
2717,"Kuwait Airways",33,74,55,95,1275,156,287,401,12,2020
2718," Qantas Airways",36,76,71,92,955,158,310,434,20,2004
2719,"United Airlines",31,113,47,66,1117,187,564,789,11,1988
2720," Qantas Airways",20,105,38,99,887,191,427,597,15,2009
2721,"TAP Portugal",20,51,44,115,854,154,184,257,12,2014
2722,"Sky Airline",36,75,47,67,1235,100,156,218,7,2021
2723,"Singapore Airlines",35,87,44,105,946,261,726,1016,14,2001
2724,"Oman Air",21,99,51,115,1211,272,728,1019,23,2020
2725,"Royal Air Maroc",23,110,33,95,1105,248,713,998,23,1985
2726,"Aer Lingus",32,52,40,93,820,208,533,746,20,1991
3346,"Quatar Airways",26,116,57,115,800,186,332,464,22,1988
3347,"American Airlines",29,62,37,106,1149,214,500,700,13,2001
3348,"LATAM",40,120,34,116,994,198,382,534,9,1986
3349,"Peach",23,57,67,61,1047,142,376,526,25,2004
3350,"Vistara",38,71,44,119,1108,190,332,464,13,2003
3351,"KLM Royal Dutch Airlines",23,89,51,74,1274,123,230,322,21,2007
3352,"AirAsia",21,108,70,117,1046,252,629,880,7,2018
3353,"Citilink",34,63,76,56,1140,205,690,966,21,2018
3354,"flyDubai",26,51,48,89,1299,272,850,1190,10,1991
3355,"Singapore Airlines",24,102,45,114,1078,270,727,1017,11,1984
3356," Aegean Airlines",29,104,76,90,813,172,384,537,15,2002
3357,"WestJet",23,67,52,102,1151,261,738,1033,22,2018
3358,"Japan Airlines",25,113,71,72,1267,259,867,1213,10,1995
3359,"EVA Air",28,114,31,95,823,128,155,217,20,2018
3360,"Azul Airlines",34,94,71,81,1274,117,168,235,14,1997
3361," Qantas Airways",38,111,57,59,851,202,666,932,10,2022
3362,"Air Canada rouge",23,90,45,108,815,248,650,910,24,2013
3363,"Saudi Arabian Airlines",36,59,51,86,1136,246,743,1040,8,2021
3364,"SunExpress",28,106,46,117,1151,167,233,326,10,2021
3365,"Vistara",28,63,70,113,1230,231,549,768,21,1986
3366,"TAP Portugal",26,117,36,119,905,166,222,310,11,2001
3367,"Korean Air",20,113,67,107,930,288,839,1174,7,2002
3368,"Sky Airline",32,82,45,60,1039,196,633,886,22,1995
3369,"TAP Portugal",24,82,56,64,1168,167,480,672,13,2019
3370,"AirAsia",34,78,59,100,1133,294,899,1258,19,1994
3371,"Bangkok Airways",24,113,69,98,996,260,754,1055,4,2009
3372,"Air Arabia",34,59,74,104,1109,275,793,1110,16,2019
3373," Qantas Airways",29,110,65,99,1122,133,159,222,5,2012
3374,"Emirates",38,78,69,88,1296,160,337,471,23,1989
3375,"AirAsia",28,106,72,104,974,221,546,764,21,2001
3376,"Eurowings",32,117,40,92,1045,227,628,879,22,2019
3377,"SAS Scandinavian",35,105,73,81,1228,141,281,393,9,2002
3378,"Garuda Indonesia",37,106,54,61,1116,145,392,548,14,1982
3379,"Ryanair",21,119,34,50,902,192,662,926,24,2021
3380,"Virgin Atlantic",37,94,50,118,1122,297,829,1160,12,1992
3381,"AirAsia",32,98,45,79,1021,208,598,837,14,1987
3382,"KLM Royal Dutch Airlines",30,98,63,86,1023,268,847,1185,25,2000
3383,"JetBlue Airways",39,105,51,69,923,226,730,1022,9,2005
3384," Austrian Airlines",29,62,33,57,1145,197,652,912,5,1982
