ID,AIRLINE_ID,AIRPLANE_ID,CREW_ID,FLIGHT_NUMBER,PURCHASED_TICKETS,DEPARTURE_TIME,ARRIVAL_TIME,FLIGHT_LENGTH,PLACE_OF_DEPARTURE_ID,PLACE_OF_ARRIVAL_ID,DISTANCE,DELAY,STATUS
73,433,6,54,193,143,"03/10/2018, 0:20","03/10/2018, 21:26",2,29,29,351,40,takeoff
74,829,3,89,433,255,"15/10/2020, 19:52","16/10/2020, 19:29",20,27,27,4602,22,arrived
75,1277,8,6,457,104,"08/12/2021, 13:57","09/12/2021, 9:19",21,20,20,1366,19,takeoff
76,1195,8,39,692,157,"29/07/2016, 0:20","29/07/2016, 9:41",14,8,8,4539,11,arrived
77,598,7,99,623,238,"24/05/2018, 17:22","24/05/2018, 23:42",19,1,1,933,45,arrived
78,1849,8,1,631,420,"24/03/2022, 14:28","24/03/2022, 18:08",2,11,11,2169,58,arrived
79,1087,7,35,597,366,"24/06/2016, 5:56","24/06/2016, 22:01",10,11,11,2901,4,delayed
80,1412,1,75,875,246,"26/10/2017, 3:28","27/10/2017, 0:19",1,17,17,4491,26,waiting for departure
81,1727,3,16,939,184,"30/09/2015, 17:33","01/10/2015, 5:20",7,19,19,3604,17,waiting for departure
82,821,5,35,607,256,"09/08/2018, 18:48","10/08/2018, 13:42",1,3,3,2907,26,arrived
83,824,7,42,288,109,"25/01/2022, 6:17","25/01/2022, 19:20",7,14,14,2578,44,waiting for departure
84,503,1,63,254,460,"23/07/2018, 23:39","24/07/2018, 3:43",12,19,19,3161,39,arrived
85,1168,3,58,747,276,"22/04/2021, 11:49","22/04/2021, 21:29",22,12,12,3935,20,waiting for departure
86,309,2,30,454,156,"09/11/2020, 9:01","09/11/2020, 13:01",18,12,12,859,23,arrived
87,1280,6,90,590,372,"03/11/2019, 7:04","03/11/2019, 21:26",1,1,1,1048,34,waiting for departure
88,579,4,94,566,428,"08/03/2022, 21:16","09/03/2022, 5:58",15,5,5,2387,60,takeoff
89,1368,3,73,902,324,"10/10/2018, 4:27","10/10/2018, 16:21",14,4,4,3294,53,delayed
90,1862,4,83,689,259,"08/10/2020, 15:50","08/10/2020, 20:50",5,8,8,4559,9,canceled
91,688,5,75,293,125,"31/07/2018, 0:25","31/07/2018, 18:42",20,11,11,1045,11,canceled
92,1384,4,58,275,253,"17/07/2021, 17:40","18/07/2021, 13:30",7,4,4,3266,30,waiting for departure
93,8,3,61,552,255,"16/12/2016, 21:33","17/12/2016, 16:55",2,5,5,1774,35,arrived
94,1002,4,100,643,160,"06/01/2015, 11:47","06/01/2015, 18:55",22,2,2,3981,9,takeoff
95,382,3,13,652,294,"08/08/2015, 2:45","08/08/2015, 15:55",21,4,4,847,9,arrived
96,740,1,18,420,187,"06/04/2017, 8:00","06/04/2017, 23:26",19,6,6,2054,43,delayed
97,1612,5,62,938,263,"14/01/2021, 2:41","14/01/2021, 14:03",7,12,12,4667,48,delayed
98,962,2,53,936,238,"06/07/2020, 15:24","07/07/2020, 10:23",12,21,21,2110,17,takeoff
99,795,4,50,981,489,"06/09/2016, 21:59","07/09/2016, 7:56",19,17,17,2495,39,delayed
100,1025,4,12,690,420,"15/09/2017, 22:29","16/09/2017, 9:53",2,15,15,2124,22,delayed
101,743,1,41,390,204,"10/11/2015, 20:08","10/11/2015, 23:49",8,8,8,4157,14,takeoff
102,1386,3,6,962,473,"21/05/2018, 12:50","22/05/2018, 2:15",6,10,10,653,39,canceled
103,739,7,80,403,110,"14/08/2020, 12:29","14/08/2020, 15:34",3,33,33,4000,6,waiting for departure
104,1124,3,3,617,240,"01/11/2018, 21:44","02/11/2018, 7:25",18,28,28,1054,58,arrived
105,660,3,74,409,262,"27/06/2022, 12:02","28/06/2022, 10:23",20,3,3,1343,16,arrived
106,1149,2,64,913,174,"25/10/2021, 10:54","25/10/2021, 22:42",2,4,4,3950,12,delayed
107,735,4,10,658,299,"14/07/2020, 13:57","14/07/2020, 22:51",15,26,26,2188,16,canceled
108,756,1,67,939,443,"03/04/2022, 7:34","03/04/2022, 17:05",9,16,16,1261,19,arrived
109,1862,4,1,708,337,"03/10/2018, 15:25","03/10/2018, 19:23",20,7,7,3074,26,canceled
110,1997,2,80,794,231,"03/02/2020, 9:35","03/02/2020, 15:07",4,11,11,4193,14,takeoff
111,1914,3,17,750,475,"09/03/2017, 0:56","09/03/2017, 6:39",15,8,8,3584,45,delayed
112,112,4,55,958,214,"09/04/2021, 18:23","10/04/2021, 3:13",12,28,28,3356,42,canceled
113,1143,5,28,679,186,"15/09/2019, 11:16","16/09/2019, 8:25",13,15,15,2447,36,canceled
114,981,2,81,435,169,"02/02/2016, 15:53","03/02/2016, 12:00",19,16,16,4518,56,takeoff
115,34,8,75,273,315,"18/03/2022, 12:59","18/03/2022, 20:01",17,27,27,4049,58,arrived
116,813,5,79,388,338,"27/01/2018, 20:47","28/01/2018, 0:51",24,26,26,1667,22,canceled
117,1035,6,53,234,191,"09/10/2020, 2:27","10/10/2020, 2:08",6,11,11,4655,5,arrived
118,1445,3,43,532,435,"14/01/2019, 5:46","14/01/2019, 23:54",21,30,30,1255,31,takeoff
119,1275,4,36,550,269,"30/07/2022, 6:57","31/07/2022, 3:19",20,32,32,524,17,takeoff
120,1101,4,77,607,471,"15/09/2016, 0:41","15/09/2016, 19:57",18,9,9,1851,42,takeoff
121,1050,8,90,971,125,"29/02/2016, 4:09","29/02/2016, 10:26",5,7,7,4737,23,delayed
122,651,3,68,924,272,"21/09/2018, 23:55","22/09/2018, 18:51",7,30,30,1154,3,delayed
123,1245,3,15,689,375,"12/07/2015, 10:11","12/07/2015, 15:46",9,11,11,318,22,takeoff
124,376,1,44,924,491,"03/09/2019, 0:11","03/09/2019, 13:42",13,2,2,1308,38,canceled
125,892,2,15,994,118,"09/06/2019, 13:46","10/06/2019, 9:56",22,29,29,1182,40,waiting for departure
126,742,8,11,634,438,"01/01/2017, 17:00","01/01/2017, 19:37",23,27,27,4903,46,arrived
127,1061,6,6,415,477,"25/03/2022, 19:10","26/03/2022, 18:11",24,28,28,785,5,waiting for departure
128,846,6,3,177,447,"06/11/2015, 9:01","06/11/2015, 16:48",16,15,15,1793,48,delayed
129,858,7,20,227,424,"19/01/2020, 17:17","20/01/2020, 15:02",10,27,27,3455,38,canceled
130,645,4,3,665,186,"16/01/2019, 14:22","17/01/2019, 4:55",13,29,29,2390,41,canceled
131,1846,6,69,768,101,"27/05/2021, 8:43","28/05/2021, 1:31",10,18,18,2615,31,delayed
132,1926,3,26,558,306,"09/09/2019, 7:40","10/09/2019, 1:12",22,8,8,3183,53,takeoff
133,692,4,43,866,249,"22/04/2018, 18:45","23/04/2018, 12:19",19,26,26,2302,55,canceled
134,642,7,35,608,180,"15/03/2018, 7:05","15/03/2018, 14:47",5,14,14,3359,25,takeoff
135,1737,8,91,847,217,"12/12/2019, 15:20","13/12/2019, 11:57",22,6,6,1284,36,arrived
136,1244,1,80,253,186,"08/02/2022, 3:38","08/02/2022, 16:00",8,2,2,2536,43,takeoff
137,1269,8,45,951,280,"17/05/2021, 9:08","17/05/2021, 17:57",17,13,13,1368,42,delayed
138,1551,3,67,553,326,"15/11/2018, 14:39","16/11/2018, 8:03",18,11,11,2020,60,canceled
139,1308,6,77,549,107,"10/12/2017, 14:02","10/12/2017, 18:48",8,28,28,3907,50,delayed
140,337,7,93,349,423,"17/05/2020, 18:25","18/05/2020, 11:38",12,20,20,1488,26,waiting for departure
141,269,7,98,216,146,"25/05/2015, 18:50","26/05/2015, 8:45",20,10,10,1133,13,delayed
142,388,7,85,215,354,"28/06/2021, 19:46","29/06/2021, 14:11",21,33,33,4324,26,arrived
143,536,8,90,815,398,"07/05/2017, 19:04","08/05/2017, 3:53",7,14,14,1582,25,waiting for departure
144,583,8,45,556,486,"19/05/2017, 0:12","19/05/2017, 3:47",23,26,26,2373,2,takeoff
145,1077,7,19,193,394,"17/07/2015, 19:22","18/07/2015, 10:26",18,16,16,2078,46,arrived
146,358,7,6,925,201,"20/09/2017, 14:58","21/09/2017, 2:27",17,29,29,2531,26,canceled
147,940,8,42,991,279,"05/09/2015, 2:43","05/09/2015, 23:49",10,13,13,635,44,takeoff
148,1922,3,28,993,397,"06/12/2021, 10:26","07/12/2021, 10:07",23,14,14,450,14,canceled
149,1283,3,65,464,165,"01/03/2017, 17:08","02/03/2017, 5:54",13,16,16,1163,40,waiting for departure
150,1000,2,38,759,106,"19/08/2016, 4:35","20/08/2016, 4:27",11,17,17,3605,50,arrived
151,373,3,46,416,148,"20/12/2016, 13:28","20/12/2016, 18:30",5,28,28,3877,19,canceled
152,1002,2,41,877,434,"01/06/2020, 23:48","02/06/2020, 5:31",2,18,18,1736,9,canceled
153,945,2,3,649,340,"06/11/2021, 6:28","06/11/2021, 17:40",22,12,12,725,28,delayed
154,901,8,94,714,325,"05/06/2017, 21:45","06/06/2017, 13:05",7,27,27,1623,23,waiting for departure
155,1658,4,15,482,252,"20/05/2018, 8:36","21/05/2018, 6:46",15,14,14,2480,12,arrived
156,678,1,80,458,102,"22/04/2015, 22:47","23/04/2015, 6:53",17,11,11,4304,28,arrived
157,269,3,96,899,159,"12/09/2021, 5:01","12/09/2021, 11:59",3,4,4,4233,24,arrived
158,1640,4,82,343,414,"11/06/2019, 3:33","11/06/2019, 10:31",24,14,14,1485,59,arrived
159,1823,4,18,333,206,"18/06/2018, 17:09","19/06/2018, 15:44",8,11,11,4306,15,takeoff
160,355,2,35,896,268,"29/04/2016, 23:23","30/04/2016, 22:51",23,27,27,3529,53,waiting for departure
161,1323,4,92,330,373,"09/10/2017, 21:50","10/10/2017, 9:41",10,30,30,3510,55,arrived
162,1429,6,72,830,312,"01/06/2020, 17:27","02/06/2020, 9:54",21,1,1,3208,18,arrived
163,1040,1,47,814,142,"04/11/2021, 6:37","05/11/2021, 0:27",6,10,10,1874,13,delayed
164,242,7,32,863,477,"04/01/2018, 16:11","04/01/2018, 20:18",5,32,32,4462,26,arrived
165,1587,3,76,370,208,"22/08/2021, 2:11","23/08/2021, 1:50",17,13,13,2890,52,arrived
166,259,1,56,975,275,"27/07/2019, 11:48","28/07/2019, 7:35",14,19,19,4951,6,delayed
167,374,4,81,176,327,"30/09/2017, 21:42","01/10/2017, 0:42",2,10,10,3150,44,delayed
168,205,5,61,637,442,"12/01/2020, 15:39","12/01/2020, 20:58",4,16,16,3492,60,arrived
169,132,7,43,765,237,"16/10/2015, 9:34","16/10/2015, 15:30",2,5,5,4565,31,canceled
170,734,4,96,231,454,"05/10/2017, 4:00","05/10/2017, 7:09",3,30,30,4709,54,takeoff
171,667,5,45,469,290,"15/08/2018, 18:22","16/08/2018, 15:38",2,7,7,4778,27,canceled
172,1054,7,62,544,161,"17/05/2021, 15:07","18/05/2021, 4:47",7,31,31,4360,32,takeoff
173,1623,4,6,563,230,"24/07/2016, 22:28","25/07/2016, 15:05",15,13,13,962,38,canceled
174,583,7,40,748,471,"26/06/2020, 11:54","26/06/2020, 22:30",5,9,9,1813,1,takeoff
175,1131,1,34,566,390,"03/08/2015, 2:08","03/08/2015, 6:53",13,15,15,2669,4,canceled
176,1142,2,9,895,316,"11/06/2022, 15:18","11/06/2022, 18:03",20,6,6,2449,23,takeoff
177,395,5,51,325,346,"28/05/2018, 21:36","29/05/2018, 9:08",17,33,33,4559,21,canceled
178,487,4,97,503,257,"08/05/2022, 4:41","08/05/2022, 13:09",9,29,29,1277,45,waiting for departure
179,1623,7,92,809,265,"30/06/2022, 17:05","01/07/2022, 3:30",21,4,4,3503,59,arrived
180,326,6,15,919,354,"25/01/2020, 8:40","25/01/2020, 18:04",20,27,27,993,35,canceled
181,1312,2,99,734,381,"19/06/2022, 18:25","20/06/2022, 16:33",24,17,17,4343,24,canceled
182,1685,3,11,171,184,"05/05/2015, 13:21","05/05/2015, 21:11",16,26,26,4842,40,arrived
183,579,4,51,442,218,"14/10/2019, 18:40","15/10/2019, 11:02",6,9,9,2605,60,takeoff
184,921,4,85,532,481,"20/01/2019, 8:24","21/01/2019, 4:44",22,31,31,1385,5,arrived
185,250,5,86,485,401,"23/10/2021, 2:42","23/10/2021, 20:42",11,5,5,4654,35,waiting for departure
186,1780,2,39,629,238,"15/09/2016, 22:44","16/09/2016, 5:44",11,28,28,3042,26,canceled
187,1835,5,79,954,474,"08/07/2018, 6:46","08/07/2018, 22:47",13,2,2,2774,13,canceled
188,189,3,91,488,268,"08/09/2015, 11:32","08/09/2015, 14:41",18,29,29,3109,9,canceled
189,439,7,82,569,205,"28/05/2016, 23:45","29/05/2016, 6:19",8,11,11,1764,37,arrived
190,1349,6,76,136,156,"20/11/2018, 22:43","21/11/2018, 5:17",15,5,5,670,31,arrived
191,1298,7,38,574,218,"20/11/2020, 7:27","21/11/2020, 5:44",2,8,8,3371,48,arrived
192,956,1,4,247,185,"24/06/2017, 13:29","25/06/2017, 1:12",16,29,29,3415,31,canceled
193,1889,6,60,146,282,"25/08/2018, 10:24","25/08/2018, 17:17",16,12,12,2653,12,canceled
194,142,8,47,738,359,"27/12/2019, 0:29","27/12/2019, 16:59",8,12,12,2263,38,takeoff
195,133,5,2,437,147,"06/04/2019, 19:52","07/04/2019, 0:36",22,12,12,4040,55,takeoff
196,1672,8,5,733,421,"16/05/2019, 12:51","17/05/2019, 5:10",16,5,5,1714,28,takeoff
197,1609,2,73,494,407,"16/09/2021, 17:24","17/09/2021, 4:55",18,28,28,3795,48,takeoff
198,1429,4,40,810,230,"17/02/2018, 22:08","18/02/2018, 12:43",14,21,21,1263,25,delayed
199,1042,7,99,358,175,"10/09/2016, 7:51","11/09/2016, 4:10",13,7,7,2731,25,canceled
200,1804,2,1,953,241,"10/11/2017, 6:06","10/11/2017, 17:10",24,32,32,2442,59,takeoff
201,1933,8,43,443,105,"29/04/2020, 11:33","30/04/2020, 9:35",23,32,32,3550,29,arrived
202,1933,2,17,819,413,"02/07/2022, 8:10","02/07/2022, 18:05",15,29,29,3655,60,arrived
203,1865,1,2,777,144,"16/02/2018, 2:02","16/02/2018, 13:48",24,28,28,4465,51,canceled
204,15,7,23,772,198,"22/11/2017, 3:27","22/11/2017, 20:48",3,19,19,3768,37,canceled
205,376,1,96,360,107,"27/09/2022, 21:30","28/09/2022, 17:34",11,8,8,2319,18,takeoff
206,1076,6,40,238,319,"17/12/2019, 20:55","18/12/2019, 2:23",12,17,17,332,20,takeoff
207,24,1,6,385,360,"03/12/2019, 11:52","04/12/2019, 8:24",10,3,3,4082,40,waiting for departure
208,1310,7,89,398,336,"05/08/2016, 13:20","05/08/2016, 20:56",14,30,30,2617,17,waiting for departure
209,744,2,69,782,385,"02/08/2015, 8:42","03/08/2015, 4:58",7,1,1,3040,58,takeoff
210,755,6,43,598,285,"12/11/2018, 8:02","12/11/2018, 11:50",17,15,15,1759,53,arrived
211,267,4,72,711,198,"28/03/2015, 20:31","29/03/2015, 5:34",4,12,12,1938,51,canceled
212,706,8,11,632,219,"03/03/2016, 20:52","04/03/2016, 8:27",24,14,14,1658,10,arrived
213,1518,6,24,452,159,"27/12/2019, 3:54","27/12/2019, 17:08",5,11,11,4642,59,arrived
214,858,1,93,217,278,"21/02/2020, 16:43","22/02/2020, 4:02",17,17,17,4326,44,arrived
215,574,1,79,827,224,"07/06/2020, 14:28","07/06/2020, 19:22",22,10,10,1256,46,canceled
216,483,4,37,417,390,"12/09/2018, 7:04","12/09/2018, 22:36",9,21,21,1607,16,delayed
217,1071,8,47,936,116,"20/10/2017, 5:29","21/10/2017, 4:45",1,12,12,3833,50,arrived
218,257,1,30,857,333,"16/10/2020, 15:44","16/10/2020, 18:35",4,19,19,4630,17,delayed
219,1372,5,97,530,483,"11/01/2016, 23:14","12/01/2016, 9:01",18,13,13,4890,28,waiting for departure
220,863,8,56,586,185,"08/05/2019, 3:25","08/05/2019, 12:10",13,17,17,2817,16,takeoff
221,1232,5,42,603,321,"09/08/2019, 19:42","10/08/2019, 18:06",22,30,30,1639,14,delayed
222,1588,1,94,296,173,"08/03/2019, 23:39","09/03/2019, 7:26",23,7,7,3215,5,arrived
223,1536,5,91,802,177,"07/09/2020, 4:45","07/09/2020, 14:43",15,16,16,3076,36,waiting for departure
224,346,8,37,427,229,"24/09/2019, 21:16","25/09/2019, 6:38",4,9,9,2155,13,waiting for departure
225,393,3,76,342,479,"27/01/2016, 10:47","27/01/2016, 21:40",12,33,33,1996,60,delayed
226,1456,5,92,914,136,"23/09/2017, 15:48","24/09/2017, 10:51",8,29,29,3344,42,canceled
227,725,7,2,301,146,"16/05/2015, 11:02","17/05/2015, 1:28",21,28,28,673,60,canceled
228,724,4,56,790,368,"22/10/2021, 6:26","22/10/2021, 13:32",16,10,10,4599,15,canceled
229,83,1,55,123,242,"14/11/2021, 19:18","15/11/2021, 6:28",14,18,18,2006,22,delayed
230,1111,2,93,313,347,"03/05/2016, 16:15","04/05/2016, 13:56",19,10,10,2760,55,takeoff
231,1784,2,36,656,278,"31/01/2021, 7:21","31/01/2021, 14:01",23,13,13,842,11,takeoff
232,55,4,20,347,202,"24/05/2021, 16:35","25/05/2021, 6:47",23,26,26,377,10,delayed
233,918,5,30,805,166,"11/11/2015, 14:20","11/11/2015, 22:35",14,3,3,3160,43,arrived
234,476,3,63,798,276,"30/06/2015, 2:36","30/06/2015, 16:20",1,8,8,4906,48,delayed
235,329,1,37,589,289,"13/10/2016, 7:17","13/10/2016, 12:15",3,12,12,4144,43,delayed
236,1789,6,56,449,416,"27/01/2015, 8:47","27/01/2015, 14:32",17,32,32,1184,21,delayed
237,1707,5,23,718,433,"16/01/2016, 19:36","17/01/2016, 7:03",4,29,29,2107,47,arrived
238,763,8,32,760,447,"24/04/2017, 15:24","25/04/2017, 10:37",17,29,29,3041,28,arrived
239,1753,8,43,513,329,"11/08/2019, 6:04","11/08/2019, 21:43",21,9,9,3298,41,arrived
240,650,3,25,115,357,"04/08/2015, 2:57","04/08/2015, 23:34",16,30,30,2176,53,canceled
241,1920,7,49,913,296,"27/01/2016, 7:32","27/01/2016, 13:08",5,28,28,4864,29,delayed
242,1376,4,5,769,247,"02/08/2019, 15:34","03/08/2019, 3:40",1,32,32,4631,16,arrived
243,270,3,98,548,426,"01/05/2020, 2:11","01/05/2020, 23:50",17,7,7,3225,12,arrived
244,1576,5,26,569,351,"28/10/2020, 2:40","28/10/2020, 4:41",5,16,16,1288,56,takeoff
245,1228,3,27,956,221,"29/06/2018, 10:28","29/06/2018, 19:21",18,31,31,3191,2,canceled
246,591,2,14,502,362,"11/10/2016, 1:42","11/10/2016, 18:04",22,20,20,3062,5,canceled
247,271,3,63,528,317,"18/04/2016, 2:10","18/04/2016, 12:21",12,31,31,1204,55,arrived
248,1751,3,28,208,320,"22/07/2015, 7:41","22/07/2015, 15:13",19,13,13,1187,3,canceled
249,314,8,54,202,443,"15/03/2019, 15:09","16/03/2019, 13:17",10,19,19,1566,56,canceled
250,1720,5,15,964,372,"30/12/2018, 9:23","31/12/2018, 0:43",17,8,8,863,19,waiting for departure
251,1654,5,60,308,443,"03/12/2015, 2:11","03/12/2015, 15:41",6,20,20,4679,58,waiting for departure
252,1686,2,22,853,215,"09/08/2021, 6:48","09/08/2021, 11:25",16,10,10,1927,43,delayed
253,540,5,100,835,348,"06/02/2019, 7:52","06/02/2019, 16:46",11,29,29,4965,1,takeoff
254,1476,7,44,918,436,"07/06/2015, 8:35","07/06/2015, 21:13",17,7,7,1072,34,takeoff
255,467,1,95,605,275,"12/03/2022, 10:38","13/03/2022, 4:41",5,7,7,4592,5,delayed
256,720,6,38,793,230,"02/02/2018, 13:13","02/02/2018, 22:41",1,28,28,3384,9,delayed
257,1356,1,34,269,349,"01/01/2019, 22:17","02/01/2019, 19:06",8,3,3,1714,30,waiting for departure
258,798,6,72,717,483,"03/03/2018, 14:52","04/03/2018, 7:06",9,18,18,4379,31,canceled
