ID,STATUS,ARRIVAL_COST,DEPARTURE_COST,ARRIVAL_DATE,DEPARTURE_DATE,AIRCRAFT_ID,ROUTE_ID,TOTAL_FUEL_COST
27,DELAYED,39251,86350,12/05/2017,11/05/2017,94,2079,1285747
28,DELAYED,99870,47856,26/05/2022,25/05/2022,84,1709,1240524
29,CANCELLED,61734,92516,,,169,340,1683923
30,TAKEOFF,56568,94460,19/10/2020,18/10/2020,49,1650,1290222
31,WAITING FOR DEPARTURE,91481,49212,,,5,1777,1690095
32,CANCELLED,63833,98443,,,91,474,1996046
33,DELAYED,88062,82417,29/12/2021,28/12/2021,86,1535,1816295
34,ARRIVED,30628,35800,12/02/2020,11/02/2020,6,321,1217465
35,TAKEOFF,50523,59169,04/11/2022,04/11/2022,106,1618,1636374
36,ARRIVED,57315,51652,17/04/2020,16/04/2020,127,1758,1010426
37,DELAYED,32146,74178,09/01/2015,08/01/2015,16,1641,1974371
38,DELAYED,92032,36338,23/01/2015,22/01/2015,115,620,1202457
39,DELAYED,57490,60164,19/04/2021,18/04/2021,141,728,1561741
40,ARRIVED,60196,44560,30/04/2019,29/04/2019,59,976,1952386
41,WAITING FOR DEPARTURE,91891,32719,,,148,574,1111380
42,TAKEOFF,58991,68411,16/04/2020,15/04/2020,129,1265,1941323
43,WAITING FOR DEPARTURE,63369,69341,,,189,1166,1276646
44,ARRIVED,69013,36490,29/11/2019,29/11/2019,57,1341,1771045
45,ARRIVED,87667,55872,30/05/2021,30/05/2021,23,752,1075075
46,DELAYED,76012,85709,16/12/2018,16/12/2018,80,1589,1579557
47,DELAYED,55772,47242,16/05/2021,15/05/2021,85,262,1443124
48,TAKEOFF,37372,53444,26/06/2016,26/06/2016,185,1117,1599685
49,ARRIVED,52091,59329,04/04/2017,03/04/2017,166,943,1183329
50,TAKEOFF,98428,91891,04/12/2021,03/12/2021,33,326,1504381
51,CANCELLED,68397,76254,,,61,839,1368895
52,ARRIVED,64051,65909,18/11/2017,17/11/2017,120,676,1513107
53,WAITING FOR DEPARTURE,94709,65522,,,149,1753,1568078
54,WAITING FOR DEPARTURE,61362,44394,,,5,1227,1739729
55,DELAYED,77035,99040,05/12/2017,05/12/2017,14,687,1885848
56,TAKEOFF,35932,43353,05/01/2016,04/01/2016,136,1259,1675006
57,WAITING FOR DEPARTURE,32139,55482,,,175,514,1653598
58,ARRIVED,97062,72171,02/01/2019,01/01/2019,134,773,1746321
59,WAITING FOR DEPARTURE,37910,92326,,,45,1335,1673746
60,DELAYED,74895,92106,15/05/2021,14/05/2021,105,1957,1619586
61,WAITING FOR DEPARTURE,65402,41594,,,187,1481,1207927
62,DELAYED,71207,34566,08/02/2017,07/02/2017,4,1162,1871337
63,TAKEOFF,76012,74639,29/10/2018,28/10/2018,184,92,1675007
64,WAITING FOR DEPARTURE,55381,65384,,,74,236,1853405
65,TAKEOFF,85450,81327,17/05/2020,16/05/2020,30,1599,1663752
66,TAKEOFF,65625,63128,01/01/2016,31/12/2015,142,913,1636850
67,WAITING FOR DEPARTURE,81367,83433,,,117,1234,1962782
68,DELAYED,51308,40401,27/12/2021,27/12/2021,184,2078,1680201
69,WAITING FOR DEPARTURE,95834,81226,,,73,523,1316934
70,ARRIVED,85472,50289,09/01/2018,09/01/2018,104,632,1838145
71,ARRIVED,42706,46967,06/10/2016,05/10/2016,5,964,1798848
72,TAKEOFF,63103,60006,09/06/2015,08/06/2015,141,347,1119686
73,TAKEOFF,93566,45094,18/12/2017,17/12/2017,123,229,1731623
74,DELAYED,48283,86491,04/07/2015,04/07/2015,175,1181,1496551
75,ARRIVED,44145,73134,13/09/2020,13/09/2020,136,796,1285555
76,ARRIVED,84536,81184,14/03/2019,14/03/2019,185,235,1408663
77,WAITING FOR DEPARTURE,51405,30699,,,135,1580,1814240
78,TAKEOFF,88596,36357,20/01/2015,19/01/2015,115,409,1692561
79,CANCELLED,57870,41219,,,153,224,1120481
80,DELAYED,44311,43095,03/06/2017,02/06/2017,50,1188,1072454
81,TAKEOFF,50779,65002,23/02/2022,22/02/2022,167,354,1973688
82,DELAYED,80836,47573,01/10/2020,01/10/2020,110,1179,1343063
83,WAITING FOR DEPARTURE,34068,48240,,,30,1595,1384161
84,ARRIVED,58895,37764,12/07/2016,11/07/2016,119,1017,1523988
85,ARRIVED,99717,52638,20/09/2015,19/09/2015,103,2008,1997862
86,ARRIVED,45126,32671,15/06/2015,15/06/2015,107,2042,1537464
87,ARRIVED,51038,52594,15/04/2021,14/04/2021,156,1966,1531854
88,ARRIVED,71062,97544,03/05/2018,02/05/2018,122,311,1713012
89,CANCELLED,73914,94578,,,43,707,1641531
90,TAKEOFF,36552,47116,20/11/2017,20/11/2017,24,1785,1431331
91,TAKEOFF,65171,43700,07/08/2022,06/08/2022,96,430,1066158
92,WAITING FOR DEPARTURE,46913,89967,,,164,296,1132331
93,WAITING FOR DEPARTURE,53114,73642,,,135,213,1549172
94,TAKEOFF,92799,95020,25/08/2016,25/08/2016,34,303,1557003
95,CANCELLED,83703,59964,,,168,950,1729850
96,ARRIVED,99779,53575,03/05/2016,03/05/2016,6,356,1243914
97,CANCELLED,89347,69207,,,76,37,1984846
98,ARRIVED,52931,80782,01/10/2021,30/09/2021,172,1073,1488609
99,DELAYED,39913,93488,21/01/2022,20/01/2022,174,2103,1677231
100,CANCELLED,37836,99256,,,78,1010,1514470
101,WAITING FOR DEPARTURE,63291,89173,,,60,34,1706435
102,TAKEOFF,31980,74376,10/08/2016,09/08/2016,37,1201,1517372
103,TAKEOFF,86155,93854,23/06/2016,22/06/2016,150,602,1790947
104,WAITING FOR DEPARTURE,45482,37293,,,113,1635,1517484
105,DELAYED,42353,38153,23/04/2021,22/04/2021,136,806,1534001
106,ARRIVED,48748,88471,21/02/2020,20/02/2020,123,1486,1500880
107,DELAYED,33328,95319,25/03/2015,24/03/2015,129,1434,1383116
108,ARRIVED,97108,47385,15/01/2019,15/01/2019,46,2064,1748894
109,DELAYED,96971,90011,02/04/2015,02/04/2015,2,1689,1924946
110,ARRIVED,40286,98266,21/10/2020,20/10/2020,129,1995,1549961
111,CANCELLED,74601,66762,,,126,1825,1086742
112,WAITING FOR DEPARTURE,47498,74440,,,111,1891,1369054
113,WAITING FOR DEPARTURE,30741,67229,,,24,193,1886315
114,CANCELLED,86630,76265,,,50,845,1621799
115,WAITING FOR DEPARTURE,83946,90072,,,45,1933,1699955
116,ARRIVED,64083,82928,28/03/2015,28/03/2015,113,1827,1467099
117,CANCELLED,94887,86271,,,103,928,1886513
118,DELAYED,78848,82030,05/01/2016,04/01/2016,141,161,1349211
119,ARRIVED,58694,45679,04/06/2020,03/06/2020,169,1120,1246245
120,WAITING FOR DEPARTURE,91964,56056,,,13,1783,1202049
121,CANCELLED,66196,39916,,,158,1309,1957124
122,ARRIVED,75877,37155,11/01/2022,11/01/2022,17,1821,1504145
123,CANCELLED,95398,54028,,,161,1512,1569017
124,CANCELLED,71898,95046,,,7,532,1519465
125,WAITING FOR DEPARTURE,92324,77722,,,63,100,1614106
126,TAKEOFF,55510,79240,01/05/2020,30/04/2020,110,867,1854965
127,WAITING FOR DEPARTURE,42846,40939,,,96,1188,1748559
128,TAKEOFF,44147,80897,21/02/2019,20/02/2019,135,1599,1481958
129,ARRIVED,71497,79608,07/04/2019,06/04/2019,159,1420,1000395
130,ARRIVED,40328,46388,20/11/2020,19/11/2020,108,1728,1232131
131,CANCELLED,65564,64947,,,147,1758,1691543
132,WAITING FOR DEPARTURE,64281,95368,,,58,1513,1088801
133,CANCELLED,74346,97275,,,142,637,1380416
134,CANCELLED,77676,95477,,,139,658,1826626
135,CANCELLED,98582,42023,,,189,1480,1818679
136,TAKEOFF,78277,77591,22/08/2019,22/08/2019,182,1664,1383751
137,DELAYED,94637,66719,25/01/2018,25/01/2018,5,1575,1733432
138,ARRIVED,90021,79693,02/02/2018,02/02/2018,152,1127,1959085
139,DELAYED,84278,82610,15/12/2019,15/12/2019,148,1430,1180967
140,DELAYED,87767,64701,14/01/2017,13/01/2017,30,1873,1068336
141,CANCELLED,52205,86613,,,178,1796,1915686
142,ARRIVED,76615,78670,29/07/2019,29/07/2019,34,1682,1445397
143,ARRIVED,41396,52484,02/05/2022,02/05/2022,36,977,1125954
144,TAKEOFF,63823,82367,15/10/2019,15/10/2019,105,1705,1362670
145,ARRIVED,34825,45930,03/11/2015,02/11/2015,5,170,1114844
146,CANCELLED,71707,74840,,,83,1947,1326040
147,CANCELLED,77173,81804,,,151,1360,1141546
148,WAITING FOR DEPARTURE,82858,34303,,,170,121,1074645
149,DELAYED,89718,86046,08/08/2018,07/08/2018,112,1978,1898951
150,TAKEOFF,84342,32628,19/02/2017,19/02/2017,81,93,1850018
151,DELAYED,60857,88765,28/08/2022,27/08/2022,172,1176,1240050
152,ARRIVED,35136,76863,21/12/2015,20/12/2015,114,1886,1026754
153,DELAYED,98013,44064,14/11/2021,13/11/2021,54,1352,1022757
154,CANCELLED,58339,34559,,,77,593,1135372
155,WAITING FOR DEPARTURE,67843,89268,,,145,1363,1752781
156,DELAYED,59191,71109,20/09/2021,20/09/2021,60,593,1087030
157,DELAYED,70887,34455,14/12/2018,13/12/2018,162,1006,1838678
158,ARRIVED,85800,90199,16/07/2018,15/07/2018,87,1522,1522484
159,CANCELLED,64587,72237,,,86,357,1902508
160,CANCELLED,99804,42769,,,125,2112,1432784
161,DELAYED,46154,76946,16/06/2022,16/06/2022,67,1126,1325348
162,WAITING FOR DEPARTURE,88103,45166,,,178,926,1639932
163,CANCELLED,52338,33681,,,39,1559,1092591
164,TAKEOFF,88533,87081,01/01/2020,31/12/2019,54,559,1909309
165,ARRIVED,90959,30089,02/01/2018,02/01/2018,37,840,1970023
166,ARRIVED,78659,50634,30/11/2021,30/11/2021,62,937,1609043
167,TAKEOFF,51243,58279,29/06/2020,29/06/2020,79,939,1183465
168,ARRIVED,70791,50007,07/12/2019,07/12/2019,188,1396,1470491
169,CANCELLED,62588,79415,,,188,443,1417937
170,CANCELLED,87590,84416,,,108,814,1716482
171,CANCELLED,88614,77305,,,51,1713,1529371
172,ARRIVED,49594,87805,01/10/2018,30/09/2018,14,1125,1285783
173,TAKEOFF,35320,60875,26/07/2018,25/07/2018,100,1417,1205932
174,DELAYED,46163,67618,09/09/2016,08/09/2016,149,828,1093490
175,CANCELLED,30397,44465,,,8,1037,1364867
176,ARRIVED,61315,33768,20/11/2016,20/11/2016,106,1236,1101102
177,ARRIVED,79271,92133,01/09/2015,01/09/2015,92,1805,1419349
178,TAKEOFF,87440,53033,23/02/2019,23/02/2019,94,1510,1965862
179,CANCELLED,95523,42643,,,126,730,1253807
180,TAKEOFF,67333,97296,23/02/2019,23/02/2019,138,1758,1514713
181,ARRIVED,73811,78648,24/06/2021,23/06/2021,66,337,1320066
182,ARRIVED,71304,56871,01/11/2020,31/10/2020,21,411,1544072
183,WAITING FOR DEPARTURE,68886,72010,,,112,519,1721443
184,TAKEOFF,63085,73157,10/03/2018,10/03/2018,88,1867,1072235
185,WAITING FOR DEPARTURE,76278,83816,,,105,62,1912866
186,DELAYED,63349,91333,27/08/2022,26/08/2022,114,2083,1756357
187,CANCELLED,48000,92908,,,30,1140,1651060
188,WAITING FOR DEPARTURE,51284,69132,,,111,994,1433729
189,TAKEOFF,86816,80972,11/07/2016,11/07/2016,6,543,1636125
190,TAKEOFF,77663,61267,08/04/2016,07/04/2016,105,1608,1617771
191,TAKEOFF,96509,69003,09/01/2022,08/01/2022,87,1268,1167157
192,TAKEOFF,66754,91161,19/01/2022,19/01/2022,76,450,1141633
193,TAKEOFF,45638,90095,11/08/2017,11/08/2017,127,337,1222523
194,DELAYED,48311,48235,13/06/2020,13/06/2020,104,685,1617596
195,CANCELLED,99968,61047,,,122,1438,1654226
196,DELAYED,67475,47449,02/01/2016,02/01/2016,72,1726,1966399
197,DELAYED,54847,98267,07/06/2022,07/06/2022,89,436,1361555
198,CANCELLED,72253,63287,,,52,2099,1178740
199,WAITING FOR DEPARTURE,52005,61394,,,0,940,1241636
200,WAITING FOR DEPARTURE,77494,64254,,,107,1975,1911896
201,TAKEOFF,33956,59064,01/09/2018,31/08/2018,48,1696,1955239
202,ARRIVED,78111,93678,21/07/2018,20/07/2018,71,171,1287923
203,WAITING FOR DEPARTURE,35142,63224,,,33,1105,1472640
204,TAKEOFF,48070,34724,02/03/2018,02/03/2018,151,464,1767060
205,ARRIVED,66261,74999,03/11/2020,02/11/2020,44,1759,1955629
206,TAKEOFF,35062,62001,01/06/2022,01/06/2022,107,636,1538919
207,ARRIVED,34006,34619,20/02/2019,19/02/2019,148,1382,1888135
208,CANCELLED,49216,94956,,,164,1361,1333161
209,WAITING FOR DEPARTURE,56134,91516,,,166,965,1816800
210,DELAYED,33732,96697,25/03/2016,25/03/2016,110,1936,1494174
211,CANCELLED,95571,58922,,,112,13,1805541
212,WAITING FOR DEPARTURE,80784,86727,,,78,1831,1737270
213,DELAYED,82323,61802,09/05/2017,08/05/2017,149,1790,1979225
214,DELAYED,88534,36516,11/05/2022,11/05/2022,71,1603,1012624
215,TAKEOFF,55911,73375,24/04/2022,23/04/2022,127,1459,1999948
216,CANCELLED,82946,42977,,,13,1173,1879190
217,TAKEOFF,84063,92345,28/10/2015,27/10/2015,48,2052,1120182
218,ARRIVED,65323,80418,15/03/2017,14/03/2017,46,660,1902203
219,WAITING FOR DEPARTURE,47885,45967,,,138,1446,1905417
220,TAKEOFF,83357,80327,27/10/2018,26/10/2018,28,1458,1606315
221,TAKEOFF,39180,84623,08/03/2015,08/03/2015,176,1851,1904485
222,ARRIVED,45192,87223,22/04/2017,22/04/2017,132,1729,1523792
223,CANCELLED,87501,83854,,,133,592,1395711
224,TAKEOFF,95406,86826,11/10/2017,11/10/2017,52,1437,1486850
225,TAKEOFF,99032,31047,23/07/2017,22/07/2017,157,494,1020202
226,CANCELLED,62021,72062,,,161,1716,1610067
227,CANCELLED,41095,51655,,,57,1526,1077724
228,DELAYED,30549,69940,18/04/2022,18/04/2022,159,316,1353003
229,DELAYED,65629,74751,16/10/2015,15/10/2015,117,1359,1162669
230,WAITING FOR DEPARTURE,45350,58830,,,126,1860,1765763
231,WAITING FOR DEPARTURE,41646,90551,,,5,909,1263419
232,WAITING FOR DEPARTURE,42112,70213,,,181,1661,1108420
233,ARRIVED,36190,36858,19/10/2018,19/10/2018,22,639,1618140
234,ARRIVED,31130,47491,20/02/2017,20/02/2017,15,2025,1268955
235,WAITING FOR DEPARTURE,54845,66989,,,169,88,1349549
236,ARRIVED,75555,91175,17/05/2020,17/05/2020,92,50,1380598
237,DELAYED,92027,61531,19/02/2018,18/02/2018,125,2059,1217135
238,DELAYED,35535,52562,01/05/2020,01/05/2020,162,1310,1362310
239,DELAYED,51399,75577,12/08/2021,12/08/2021,36,776,1847956
240,ARRIVED,37500,44154,09/02/2021,08/02/2021,99,353,1451641
241,ARRIVED,33209,57637,29/03/2018,29/03/2018,164,1987,1887736
242,TAKEOFF,71668,72185,27/10/2019,27/10/2019,181,665,1783474
243,WAITING FOR DEPARTURE,30476,84076,,,44,2006,1822072
244,WAITING FOR DEPARTURE,34452,42344,,,23,216,1823554
245,WAITING FOR DEPARTURE,54950,83311,,,70,1008,1760484
246,DELAYED,76072,81428,02/06/2022,01/06/2022,111,592,1069713
247,DELAYED,66892,80386,22/08/2015,21/08/2015,131,1764,1943030
248,WAITING FOR DEPARTURE,65784,82521,,,40,1314,1772445
249,WAITING FOR DEPARTURE,74028,77117,,,113,125,1327216
250,ARRIVED,40796,72769,08/02/2021,07/02/2021,145,1397,1509497
251,TAKEOFF,99306,92092,03/10/2019,03/10/2019,86,214,1287728
252,TAKEOFF,46247,59242,04/10/2021,03/10/2021,70,416,1507758
253,DELAYED,63961,45962,31/07/2022,31/07/2022,173,348,1038177
254,DELAYED,71383,96214,03/02/2019,02/02/2019,56,109,1615656
255,WAITING FOR DEPARTURE,63324,36993,,,41,1851,1762191
256,DELAYED,76413,58219,01/07/2021,01/07/2021,182,469,1310167
257,TAKEOFF,58850,86175,14/08/2019,13/08/2019,85,795,1224248
258,WAITING FOR DEPARTURE,36473,96498,,,127,1103,1837885
259,ARRIVED,55007,45310,24/08/2019,23/08/2019,37,2057,1753911
260,WAITING FOR DEPARTURE,95545,81901,,,41,624,1458776
261,ARRIVED,97904,76057,27/06/2015,26/06/2015,169,1083,1247198
262,DELAYED,90988,35902,27/06/2020,26/06/2020,136,1629,1841978
263,TAKEOFF,91311,34457,25/05/2019,24/05/2019,96,1754,1972824
264,TAKEOFF,35829,81990,19/01/2018,19/01/2018,153,887,1347759
265,ARRIVED,30197,84092,04/10/2017,04/10/2017,98,2023,1057170
266,WAITING FOR DEPARTURE,84279,54154,,,21,1574,1385121
267,CANCELLED,86471,87861,,,140,602,1482489
268,ARRIVED,96822,49514,30/04/2020,29/04/2020,61,958,1483853
269,TAKEOFF,74560,73659,28/04/2015,27/04/2015,36,1848,1609840
270,DELAYED,31325,72464,22/09/2019,21/09/2019,27,862,1765347
271,CANCELLED,38296,63569,,,87,1499,1947121
272,ARRIVED,75734,31436,22/11/2018,22/11/2018,173,1313,1367680
273,CANCELLED,63898,98659,,,79,442,1885144
274,CANCELLED,93097,37037,,,115,1007,1621961
275,WAITING FOR DEPARTURE,77249,43541,,,177,275,1003459
276,CANCELLED,75353,62758,,,109,2006,1173343
277,ARRIVED,72431,39035,10/01/2022,10/01/2022,131,544,1433833
278,CANCELLED,43376,77838,,,160,458,1422550
279,CANCELLED,67047,62420,,,117,1105,1329106
280,WAITING FOR DEPARTURE,47587,99370,,,6,1896,1559553
281,WAITING FOR DEPARTURE,38324,43039,,,77,1168,1975250
282,WAITING FOR DEPARTURE,51018,84748,,,70,59,1992155
283,ARRIVED,62622,55479,01/03/2021,01/03/2021,1,2095,1079673
284,TAKEOFF,64060,95707,18/03/2022,17/03/2022,72,236,1323630
285,TAKEOFF,50346,78489,05/11/2018,04/11/2018,34,1032,1225328
286,TAKEOFF,94391,59980,07/10/2020,07/10/2020,79,694,1785220
287,TAKEOFF,95278,81687,28/06/2015,27/06/2015,140,306,1223819
288,CANCELLED,86087,63713,,,9,790,1161728
289,ARRIVED,62791,34248,12/11/2021,11/11/2021,15,1051,1808015
290,CANCELLED,36988,94694,,,11,2,1781941
291,ARRIVED,69071,89038,16/12/2018,15/12/2018,184,1886,1878484
292,CANCELLED,63019,40787,,,124,1290,1469713
293,ARRIVED,86701,48747,07/03/2021,06/03/2021,152,923,1412380
294,WAITING FOR DEPARTURE,93173,58689,,,31,1861,1317378
295,CANCELLED,44366,31094,,,173,176,1309328
296,ARRIVED,38200,88811,24/11/2022,24/11/2022,37,482,1556029
297,WAITING FOR DEPARTURE,87806,30831,,,146,899,1578161
298,TAKEOFF,50969,55528,07/04/2019,06/04/2019,136,226,1717986
299,WAITING FOR DEPARTURE,80486,98208,,,53,485,1184149
300,ARRIVED,39970,36079,13/12/2020,13/12/2020,22,926,1248662
301,CANCELLED,71235,55439,,,27,1697,1979218
302,WAITING FOR DEPARTURE,44386,79594,,,171,17,1296273
303,DELAYED,70203,65263,09/11/2018,09/11/2018,157,1330,1714000
304,ARRIVED,82590,60223,31/08/2022,31/08/2022,60,3,1671938
305,WAITING FOR DEPARTURE,50178,46005,,,180,1762,1794255
306,WAITING FOR DEPARTURE,77760,54376,,,107,978,1404432
307,DELAYED,98294,94348,06/11/2019,05/11/2019,88,486,1353649
308,CANCELLED,93143,54480,,,106,1534,1584902
309,CANCELLED,62403,78447,,,37,415,1400431
310,TAKEOFF,91288,69262,19/02/2017,19/02/2017,89,514,1956035
311,WAITING FOR DEPARTURE,59748,68117,,,31,101,1944805
312,TAKEOFF,45398,83759,11/11/2019,11/11/2019,48,529,1436738
313,DELAYED,32587,63254,15/10/2016,14/10/2016,25,898,1848396
314,WAITING FOR DEPARTURE,75406,67071,,,182,176,1606680
315,CANCELLED,94819,72129,,,163,971,1631015
316,TAKEOFF,74134,57162,01/04/2015,01/04/2015,72,991,1665591
317,ARRIVED,68971,87672,26/10/2017,25/10/2017,67,320,1522199
318,CANCELLED,32247,38663,,,111,343,1877283
319,TAKEOFF,35525,43715,01/12/2019,30/11/2019,120,1200,1967007
320,ARRIVED,73885,91820,20/10/2015,19/10/2015,109,1585,1035479
321,CANCELLED,94740,56242,,,28,400,1655077
322,WAITING FOR DEPARTURE,77660,94084,,,64,1155,1072187
323,DELAYED,62542,68781,30/03/2017,30/03/2017,38,1062,1893204
324,ARRIVED,76972,97898,18/10/2015,18/10/2015,141,210,1711437
325,ARRIVED,67433,33169,26/03/2019,25/03/2019,146,1155,1071310
326,TAKEOFF,71746,66574,04/10/2018,03/10/2018,94,689,1158404
327,ARRIVED,78394,64676,15/11/2021,15/11/2021,88,218,1727872
328,TAKEOFF,55256,51041,14/04/2022,13/04/2022,48,1184,1602372
329,WAITING FOR DEPARTURE,84725,66063,,,16,1047,1228591
330,WAITING FOR DEPARTURE,39279,31814,,,187,373,1191966
331,ARRIVED,74968,82305,25/10/2020,24/10/2020,116,1055,1564708
332,DELAYED,96210,39828,09/11/2015,08/11/2015,168,967,1730086
333,TAKEOFF,63771,40625,01/10/2018,01/10/2018,22,2038,1725917
334,ARRIVED,99826,95231,26/12/2015,26/12/2015,140,842,1830106
335,ARRIVED,83365,60545,25/06/2015,25/06/2015,100,1707,1635151
336,DELAYED,37452,36952,29/04/2015,28/04/2015,17,530,1688619
337,DELAYED,53137,62086,14/05/2021,13/05/2021,51,2083,1637226
338,WAITING FOR DEPARTURE,52266,39761,,,189,1035,1461278
339,CANCELLED,78775,80182,,,11,1903,1904779
340,TAKEOFF,41937,70517,24/12/2021,23/12/2021,179,962,1952593
341,CANCELLED,33018,33044,,,35,1688,1343938
342,CANCELLED,87383,76118,,,43,1244,1228849
343,WAITING FOR DEPARTURE,30953,94403,,,138,1690,1665263
344,DELAYED,30681,43077,17/04/2020,17/04/2020,106,1158,1340430
345,CANCELLED,77646,38421,,,77,1424,1220017
346,WAITING FOR DEPARTURE,36379,45891,,,105,1177,1738759
347,ARRIVED,57857,51122,16/12/2019,15/12/2019,87,249,1832328
348,CANCELLED,63693,67455,,,104,1156,1081378
349,WAITING FOR DEPARTURE,77942,88141,,,68,2,1934400
350,ARRIVED,56425,44339,07/08/2018,06/08/2018,112,211,1850166
351,TAKEOFF,63331,90434,17/10/2020,17/10/2020,153,736,1874799
352,CANCELLED,68637,80794,,,66,1239,1416633
353,TAKEOFF,49722,60774,12/08/2019,11/08/2019,189,1577,1020884
354,ARRIVED,44515,53181,25/10/2015,25/10/2015,102,500,1749930
355,ARRIVED,60177,86874,12/03/2022,11/03/2022,81,1344,1382534
356,WAITING FOR DEPARTURE,45610,96707,,,139,881,1729965
357,CANCELLED,31987,46629,,,83,206,1209102
358,WAITING FOR DEPARTURE,57499,99203,,,174,1775,1981874
359,CANCELLED,47665,35625,,,8,357,1744272
360,ARRIVED,62130,84786,24/02/2017,23/02/2017,167,666,1702052
361,WAITING FOR DEPARTURE,35837,47444,,,124,1302,1407903
362,WAITING FOR DEPARTURE,60451,76913,,,179,1735,1663006
363,TAKEOFF,43906,93563,23/04/2017,22/04/2017,49,13,1938149
364,WAITING FOR DEPARTURE,77644,38295,,,25,1620,1914129
365,ARRIVED,38179,89678,22/07/2021,21/07/2021,189,449,1972206
366,WAITING FOR DEPARTURE,67356,66395,,,34,83,1118505
367,DELAYED,44553,61479,01/10/2017,30/09/2017,103,1365,1469160
368,WAITING FOR DEPARTURE,37469,88449,,,168,1778,1574217
369,CANCELLED,35312,48553,,,149,640,1461517
370,CANCELLED,82420,66283,,,164,971,1047846
371,ARRIVED,39592,82589,18/11/2018,17/11/2018,13,1218,1563226
372,ARRIVED,60544,31512,06/08/2021,05/08/2021,103,789,1388837
373,WAITING FOR DEPARTURE,93876,95168,,,159,1882,1526316
374,WAITING FOR DEPARTURE,30912,59811,,,96,1147,1664961
375,CANCELLED,53482,43546,,,69,1670,1345713
376,TAKEOFF,77153,77750,16/04/2018,15/04/2018,165,1394,1249359
377,ARRIVED,63069,53549,19/05/2021,18/05/2021,151,64,1565600
378,DELAYED,75701,41530,08/02/2022,07/02/2022,33,1694,1349528
379,ARRIVED,50628,49316,08/02/2018,08/02/2018,185,651,1139723
380,CANCELLED,44953,40728,,,8,1648,1890133
381,ARRIVED,37078,58400,01/08/2019,01/08/2019,185,1807,1814099
382,TAKEOFF,74964,89838,15/05/2021,15/05/2021,43,925,1628204
383,DELAYED,82697,41187,19/02/2018,19/02/2018,60,394,1549519
384,CANCELLED,37176,33421,,,159,1073,1074694
385,ARRIVED,52077,78494,17/11/2015,16/11/2015,120,57,1735619
386,CANCELLED,45492,73118,,,170,317,1996083
387,DELAYED,59565,70154,14/07/2015,13/07/2015,91,1696,1336076
388,CANCELLED,40123,56003,,,134,414,1823838
389,WAITING FOR DEPARTURE,78728,95583,,,152,51,1428088
390,ARRIVED,49857,96294,26/04/2019,25/04/2019,180,910,1529708
391,ARRIVED,67415,72219,03/03/2018,03/03/2018,141,407,1722883
392,WAITING FOR DEPARTURE,50750,79554,,,159,719,1436748
393,ARRIVED,71301,42263,20/09/2020,20/09/2020,170,123,1506100
394,CANCELLED,35607,72916,,,98,1799,1627012
395,CANCELLED,49681,71659,,,9,1406,1423136
396,TAKEOFF,76500,70096,07/11/2018,07/11/2018,37,1532,1501292
397,TAKEOFF,91805,55585,25/07/2021,25/07/2021,5,2008,1366006
398,ARRIVED,44186,77520,20/03/2020,19/03/2020,95,447,1532599
399,DELAYED,39259,48358,17/05/2021,16/05/2021,137,1435,1980389
400,WAITING FOR DEPARTURE,76836,70318,,,117,1164,1813493
401,CANCELLED,40711,39429,,,127,564,1415873
